epoch,step,train_acc,train_loss,val_acc,val_loss
0,118,,,0.6478805541992188,1.2159894704818726
0,118,0.4283078610897064,2.2569544315338135,,
1,237,,,0.823699414730072,0.5992589592933655
1,237,0.698207676410675,1.0151690244674683,,
2,356,,,0.9267822504043579,0.2811685800552368
2,356,0.8342118859291077,0.5484347939491272,,
3,475,,,0.9556840062141418,0.1684618890285492
3,475,0.8986557722091675,0.3399549424648285,,
4,594,,,0.9609826803207397,0.12518008053302765
4,594,0.928966760635376,0.23352409899234772,,
5,713,,,0.9816955924034119,0.06333283334970474
5,713,0.9460991024971008,0.17303574085235596,,
6,832,,,0.9889209866523743,0.04570266231894493
6,832,0.9623088836669922,0.12436022609472275,,
7,951,,,0.9865125417709351,0.04448699951171875
7,951,0.9716657996177673,0.09097152948379517,,
8,1070,,,0.9913294911384583,0.03289427608251572
8,1070,0.9681075215339661,0.10265164077281952,,
9,1189,,,0.986994206905365,0.042844850569963455
9,1189,0.9731154441833496,0.08598817139863968,,
10,1308,,,0.9951830506324768,0.01946565881371498
10,1308,0.9731154441833496,0.08393856137990952,,
11,1427,,,0.9947013258934021,0.018398212268948555
11,1427,0.9827358722686768,0.054237641394138336,,
12,1546,,,0.9985548853874207,0.009925561025738716
12,1546,0.9831312894821167,0.0551161952316761,,
13,1665,,,0.9956647157669067,0.01638730801641941
13,1665,0.9897205829620361,0.03872508555650711,,
14,1784,,,0.9889209866523743,0.03351620212197304
14,1784,0.9822087287902832,0.05476467311382294,,
15,1903,,,0.9889209866523743,0.037519775331020355
15,1903,0.9728518724441528,0.08341201394796371,,
16,2022,,,0.9927745461463928,0.02384944260120392
16,2022,0.9795730113983154,0.06792838126420975,,
17,2141,,,0.9913294911384583,0.02452697418630123
17,2141,0.98247230052948,0.05743977800011635,,
