epoch,step,train_acc,train_loss,val_acc,val_loss
0,134,,,0.9322250485420227,0.2630552351474762
0,134,0.8958139419555664,0.6663205027580261,,
1,269,,,0.9548166990280151,0.13947784900665283
1,269,0.9160465002059937,0.3262617588043213,,
2,404,,,0.9667519330978394,0.11457671225070953
2,404,0.9291860461235046,0.24750101566314697,,
3,539,,,0.9735720157623291,0.08851072192192078
3,539,0.9497674703598022,0.15909047424793243,,
4,674,,,0.9727195501327515,0.0746942088007927
4,674,0.9547674655914307,0.13379965722560883,,
5,809,,,0.9680306911468506,0.09417898952960968
5,809,0.9606976509094238,0.11202717572450638,,
6,944,,,0.9774083495140076,0.06552062183618546
6,944,0.9561628103256226,0.130930557847023,,
7,1079,,,0.9765558242797852,0.07337276637554169
7,1079,0.9641860723495483,0.10872375220060349,,
8,1214,,,0.97826087474823,0.061300553381443024
8,1214,0.9681395292282104,0.09599979966878891,,
9,1349,,,0.9761295914649963,0.06518955528736115
9,1349,0.9715116024017334,0.08379807323217392,,
10,1484,,,0.940750241279602,0.1617615520954132
10,1484,0.9734883904457092,0.08092711120843887,,
11,1619,,,0.990622341632843,0.02380792796611786
11,1619,0.9723255634307861,0.08585753291845322,,
12,1754,,,0.9919010996818542,0.027069736272096634
12,1754,0.9747674465179443,0.07553844898939133,,
13,1889,,,0.9940323829650879,0.025924380868673325
13,1889,0.9809302091598511,0.05580572038888931,,
14,2024,,,0.9889172911643982,0.033649854362010956
14,2024,0.9831395149230957,0.04683968424797058,,
15,2159,,,0.9855072498321533,0.035160817205905914
15,2159,0.9831395149230957,0.048233188688755035,,
16,2294,,,0.9889172911643982,0.028254259377717972
16,2294,0.9777907133102417,0.05990922078490257,,
