epoch,step,train_acc,train_loss,val_acc,val_loss
0,47,,,0.22373540699481964,3.7071053981781006
0,47,0.5176625847816467,2.1724958419799805,,
1,95,,,0.6468871831893921,1.1722962856292725
1,95,0.7606470584869385,0.7542330622673035,,
2,143,,,0.7480545043945312,0.7930217981338501
2,143,0.8831297755241394,0.38226762413978577,,
3,191,,,0.7762646079063416,0.7450131773948669
3,191,0.9255529642105103,0.24261856079101562,,
4,239,,,0.8190661668777466,0.6386868953704834
4,239,0.9480026364326477,0.1686883419752121,,
5,287,,,0.8511673212051392,0.5391444563865662
5,287,0.9651700258255005,0.11033858358860016,,
6,335,,,0.8696498274803162,0.45919692516326904
6,335,0.9763948321342468,0.07909499108791351,,
7,383,,,0.8647859692573547,0.4457949101924896
7,383,0.9854737520217896,0.04803014546632767,,
8,431,,,0.8531128168106079,0.5389494895935059
8,431,0.987784743309021,0.042402446269989014,,
9,479,,,0.8589494228363037,0.4904059171676636
9,479,0.9839881062507629,0.05145886167883873,,
10,527,,,0.868677020072937,0.4922129213809967
10,527,0.9896005392074585,0.037385039031505585,,
11,575,,,0.8754863739013672,0.4695323407649994
11,575,0.9896005392074585,0.038597915321588516,,
12,623,,,0.8745136260986328,0.4766043722629547
12,623,0.9816771149635315,0.06096794456243515,,
13,671,,,0.8852140307426453,0.4620926082134247
13,671,0.9924067258834839,0.029052577912807465,,
14,719,,,0.862840473651886,0.5165614485740662
14,719,0.9940574169158936,0.024591349065303802,,
15,767,,,0.8793774247169495,0.48444047570228577
15,767,0.9892703890800476,0.034039393067359924,,
16,815,,,0.8881322741508484,0.41888636350631714
16,815,0.9929019212722778,0.023821700364351273,,
17,863,,,0.8842412233352661,0.43876174092292786
17,863,0.9953780174255371,0.017485156655311584,,
18,911,,,0.8803501725196838,0.43694329261779785
18,911,0.9886100888252258,0.0378953292965889,,
19,959,,,0.8949416279792786,0.461862176656723
19,959,0.9909210801124573,0.03172832727432251,,
20,1007,,,0.9066147804260254,0.3986757695674896
20,1007,0.9909210801124573,0.02949145808815956,,
21,1055,,,0.8745136260986328,0.49873441457748413
21,1055,0.9917464256286621,0.027369864284992218,,
22,1103,,,0.8842412233352661,0.45386984944343567
22,1103,0.9942225217819214,0.019745567813515663,,
23,1151,,,0.8881322741508484,0.4385870397090912
23,1151,0.9952129125595093,0.016202585771679878,,
24,1199,,,0.9095330834388733,0.348301500082016
24,1199,0.9909210801124573,0.027614735066890717,,
25,1247,,,0.8832684755325317,0.40605151653289795
25,1247,0.9952129125595093,0.017864547669887543,,
26,1295,,,0.8988326787948608,0.37292832136154175
26,1295,0.9978540539741516,0.00847034715116024,,
27,1343,,,0.9007782340049744,0.4122777581214905
27,1343,0.9978540539741516,0.008301220834255219,,
28,1391,,,0.8307393193244934,0.74170982837677
28,1391,0.9942225217819214,0.019642511382699013,,
29,1439,,,0.8949416279792786,0.4481799900531769
29,1439,0.9889402389526367,0.03480491042137146,,
30,1487,,,0.8842412233352661,0.48926037549972534
30,1487,0.9922416806221008,0.027369199320673943,,
31,1535,,,0.8842412233352661,0.5321052670478821
31,1535,0.9859689474105835,0.05246923863887787,,
32,1583,,,0.8667315244674683,0.5622333884239197
32,1583,0.9899306893348694,0.03821863234043121,,
33,1631,,,0.9017509818077087,0.4318799674510956
33,1631,0.9932320713996887,0.02300240285694599,,
34,1679,,,0.9017509818077087,0.42380526661872864
34,1679,0.9960383176803589,0.01359563134610653,,
