epoch,step,train_acc,train_loss,val_acc,val_loss
0,108,,,0.4409005641937256,1.9809982776641846
0,108,0.3675078749656677,2.5648891925811768,,
1,217,,,0.6031894683837891,1.390373706817627
1,217,0.5597935318946838,1.4957033395767212,,
2,326,,,0.7326453924179077,0.9322036504745483
2,326,0.722827672958374,0.9692517518997192,,
3,435,,,0.7983114719390869,0.6494631767272949
3,435,0.8292227983474731,0.5946068167686462,,
4,544,,,0.8470919132232666,0.5288391709327698
4,544,0.8765414357185364,0.4162653684616089,,
5,653,,,0.8733583688735962,0.4331922233104706
5,653,0.9154000282287598,0.29762569069862366,,
6,762,,,0.8733583688735962,0.42748185992240906
6,762,0.936048150062561,0.22915150225162506,,
7,871,,,0.8808630108833313,0.41949960589408875
7,871,0.9446515440940857,0.19496092200279236,,
8,980,,,0.8789868950843811,0.40858015418052673
8,980,0.9528247714042664,0.16020403802394867,,
9,1089,,,0.8902438879013062,0.38855311274528503
9,1089,0.9620017409324646,0.14046064019203186,,
10,1198,,,0.894934356212616,0.3757360279560089
10,1198,0.9670203328132629,0.11742924153804779,,
11,1307,,,0.901500940322876,0.34101542830467224
11,1307,0.9754803776741028,0.09593515843153,,
12,1416,,,0.9071294665336609,0.3358965516090393
12,1416,0.9747633934020996,0.09388580918312073,,
13,1525,,,0.8958724141120911,0.35107505321502686
13,1525,0.9803556203842163,0.07191172242164612,,
14,1634,,,0.8874296545982361,0.3970324993133545
14,1634,0.9783481359481812,0.07745271176099777,,
15,1743,,,0.9005628228187561,0.34215742349624634
15,1743,0.9783481359481812,0.08200053125619888,,
16,1852,,,0.901500940322876,0.35071709752082825
16,1852,0.9815027117729187,0.07129285484552383,,
17,1961,,,0.8968105316162109,0.36760300397872925
17,1961,0.9810725450515747,0.07146382331848145,,
