epoch,step,train_acc,train_loss,val_acc,val_loss
0,108,,,0.4990619122982025,1.8513377904891968
0,108,0.386435329914093,2.429533004760742,,
1,217,,,0.6697936058044434,1.2041959762573242
1,217,0.5977917909622192,1.3565008640289307,,
2,326,,,0.794559121131897,0.7139346599578857
2,326,0.7734442353248596,0.75913006067276,,
3,435,,,0.8208255171775818,0.5943543910980225
3,435,0.8639231324195862,0.45084813237190247,,
4,544,,,0.8377110958099365,0.5436803102493286
4,544,0.9083739519119263,0.30437588691711426,,
5,653,,,0.8677298426628113,0.47172343730926514
5,653,0.9317464828491211,0.22625380754470825,,
6,762,,,0.8658536672592163,0.4492284655570984
6,762,0.9463722109794617,0.1843033879995346,,
7,871,,,0.8846153616905212,0.4393613040447235
7,871,0.9528247714042664,0.15324664115905762,,
8,980,,,0.8921200633049011,0.3905632197856903
8,980,0.960567831993103,0.13514238595962524,,
9,1089,,,0.8761726021766663,0.46440279483795166
9,1089,0.962288498878479,0.12570811808109283,,
10,1198,,,0.8836773037910461,0.3909335732460022
10,1198,0.9667335748672485,0.10042754560709,,
11,1307,,,0.8771107196807861,0.46843981742858887
11,1307,0.972899317741394,0.09211107343435287,,
12,1416,,,0.8855534791946411,0.43903520703315735
12,1416,0.972038984298706,0.09374569356441498,,
13,1525,,,0.9024389982223511,0.3515802323818207
13,1525,0.9789217114448547,0.07142039388418198,,
14,1634,,,0.8883677124977112,0.45163172483444214
14,1634,0.9796386361122131,0.0780530571937561,,
15,1743,,,0.8958724141120911,0.4378499984741211
15,1743,0.9797820448875427,0.07189330458641052,,
16,1852,,,0.8780487775802612,0.46857768297195435
16,1852,0.9750502109527588,0.07984621822834015,,
17,1961,,,0.8818011283874512,0.4451185166835785
17,1961,0.9779179692268372,0.08005833625793457,,
18,2070,,,0.894934356212616,0.3903704285621643
18,2070,0.9753369688987732,0.08500504493713379,,
