epoch,step,train_acc,train_loss,val_acc,val_loss
0,135,,,0.9192789793014526,0.35837987065315247
0,135,0.861136794090271,0.8134088516235352,,
1,271,,,0.9357366561889648,0.4268300533294678
1,271,0.9095425009727478,0.314834326505661,,
2,407,,,0.9365203976631165,0.3163321912288666
2,407,0.9163585901260376,0.3051435053348541,,
3,543,,,0.9333855509757996,0.3549456298351288
3,543,0.9326478838920593,0.21211978793144226,,
4,679,,,0.9122257232666016,0.34550967812538147
4,679,0.9350739121437073,0.22083429992198944,,
5,815,,,0.9412225484848022,0.3723577558994293
5,815,0.9420055747032166,0.17411936819553375,,
6,951,,,0.9365203976631165,0.4529727101325989
6,951,0.9559842944145203,0.14610274136066437,,
7,1087,,,0.945141077041626,0.2908053994178772
7,1087,0.9549445509910583,0.13173218071460724,,
8,1223,,,0.9388715028762817,0.2364245504140854
8,1223,0.9588724374771118,0.123989999294281,,
9,1359,,,0.8942006230354309,0.35644039511680603
9,1359,0.9648798704147339,0.10014364123344421,,
10,1495,,,0.92476487159729,0.3576509952545166
10,1495,0.9586414098739624,0.12457138299942017,,
11,1631,,,0.9404388666152954,0.384472131729126
11,1631,0.9644177556037903,0.10895989835262299,,
12,1767,,,0.9404388666152954,0.30393579602241516
12,1767,0.9690388441085815,0.08640830218791962,,
13,1903,,,0.9380877614021301,0.29296180605888367
13,1903,0.9704251289367676,0.08331379294395447,,
