epoch,step,train_acc,train_loss,val_acc,val_loss
0,293,,,0.8626276850700378,0.4663299322128296
0,293,0.6625691652297974,1.3270909786224365,,
1,587,,,0.8476576209068298,0.48341211676597595
1,587,0.8544593453407288,0.4847581088542938,,
2,881,,,0.9105318784713745,0.3064998388290405
2,881,0.8861217498779297,0.37931784987449646,,
3,1175,,,0.9265586733818054,0.24815677106380463
3,1175,0.9081524014472961,0.30855485796928406,,
4,1469,,,0.9265586733818054,0.24615634977817535
4,1469,0.920976996421814,0.26352962851524353,,
5,1763,,,0.923564612865448,0.28960296511650085
5,1763,0.9275755882263184,0.23554368317127228,,
6,2057,,,0.9300810098648071,0.25705456733703613
6,2057,0.9316198229789734,0.2228918969631195,,
7,2351,,,0.9103557467460632,0.3263740837574005
7,2351,0.9394955039024353,0.19812659919261932,,
8,2645,,,0.9313138723373413,0.2381371706724167
8,2645,0.9457215666770935,0.17304359376430511,,
9,2939,,,0.9344839453697205,0.2367466390132904
9,2939,0.9459344148635864,0.16895858943462372,,
10,3233,,,0.9448749423027039,0.19384898245334625
10,3233,0.9523733258247375,0.15233133733272552,,
11,3527,,,0.9339556097984314,0.232404887676239
11,3527,0.9539697766304016,0.14715422689914703,,
12,3821,,,0.9383586049079895,0.2318219244480133
12,3821,0.9570029973983765,0.1321149468421936,,
13,4115,,,0.9462838768959045,0.19196352362632751
13,4115,0.9596636891365051,0.12688048183918,,
14,4409,,,0.9321944117546082,0.23948591947555542
14,4409,0.9613665342330933,0.12261653691530228,,
15,4703,,,0.9422332048416138,0.21596413850784302
15,4703,0.9641869068145752,0.11130793392658234,,
16,4997,,,0.9328988790512085,0.25342196226119995
16,4997,0.9636547565460205,0.11384188383817673,,
17,5291,,,0.9330750107765198,0.2738446593284607
17,5291,0.9643997550010681,0.11645226180553436,,
18,5585,,,0.9482212066650391,0.1985796093940735
18,5585,0.9657300710678101,0.10538353770971298,,
