epoch,step,train_acc,train_loss,val_acc,val_loss
0,351,,,0.9290493726730347,0.2399667203426361
0,351,0.8979909420013428,0.4754300117492676,,
1,703,,,0.9563702344894409,0.16080594062805176
1,703,0.9452396035194397,0.19216039776802063,,
2,1055,,,0.9565095901489258,0.18538479506969452
2,1055,0.9583073854446411,0.13994520902633667,,
3,1407,,,0.9643155932426453,0.14234288036823273
3,1407,0.9611076712608337,0.12471071630716324,,
4,1759,,,0.9679397940635681,0.11097319424152374
4,1759,0.963596761226654,0.11661066859960556,,
5,2111,,,0.968079149723053,0.11227574199438095
5,2111,0.9703973531723022,0.08911339938640594,,
6,2463,,,0.9622247219085693,0.11718316376209259
6,2463,0.9733754396438599,0.08229214698076248,,
7,2815,,,0.9682185649871826,0.1016046553850174
7,2815,0.9742199182510376,0.07976166158914566,,
8,3167,,,0.9666852355003357,0.09560225903987885
8,3167,0.9762645363807678,0.07095128297805786,,
9,3519,,,0.970588207244873,0.1202753484249115
9,3519,0.9760867357254028,0.07008172571659088,,
10,3871,,,0.9732366800308228,0.09976010024547577
10,3871,0.9767979383468628,0.06455909460783005,,
11,4223,,,0.9737942814826965,0.1041480153799057
11,4223,0.9804427027702332,0.059120435267686844,,
12,4575,,,0.9739336371421814,0.10170856863260269
12,4575,0.9803093671798706,0.05691849812865257,,
13,4927,,,0.9749094247817993,0.10940347611904144
13,4927,0.9841763973236084,0.04782288148999214,,
