epoch,step,train_acc,train_loss,val_acc,val_loss
0,293,,,0.5332863926887512,1.5296986103057861
0,293,0.41624096035957336,1.9658482074737549,,
1,587,,,0.6706587076187134,1.1139901876449585
1,587,0.6093018054962158,1.269079566001892,,
2,881,,,0.7206763029098511,0.8733057975769043
2,881,0.7159429788589478,0.9212212562561035,,
3,1175,,,0.8048608899116516,0.6451308727264404
3,1175,0.778842031955719,0.717288076877594,,
4,1469,,,0.8145473599433899,0.5773912668228149
4,1469,0.8202958703041077,0.5936132669448853,,
5,1763,,,0.8573441505432129,0.4781505763530731
5,1763,0.8439761400222778,0.5057525038719177,,
6,2057,,,0.8400845527648926,0.5167175531387329
6,2057,0.868348240852356,0.43763744831085205,,
7,2351,,,0.8573441505432129,0.4526600241661072
7,2351,0.8780864477157593,0.401359498500824,,
8,2645,,,0.8849947452545166,0.4045799672603607
8,2645,0.8872392773628235,0.3606323301792145,,
9,2939,,,0.8682634830474854,0.45274150371551514
9,2939,0.9001702666282654,0.323790043592453,,
10,3233,,,0.8842902183532715,0.39711618423461914
10,3233,0.9087909460067749,0.29169920086860657,,
11,3527,,,0.8999647498130798,0.344046026468277
11,3527,0.9158684611320496,0.2697100043296814,,
12,3821,,,0.8966185450553894,0.35537096858024597
12,3821,0.9222009181976318,0.2515922784805298,,
13,4115,,,0.8807678818702698,0.41538119316101074
13,4115,0.9277352094650269,0.22991709411144257,,
14,4409,,,0.8950334787368774,0.35814622044563293
14,4409,0.9333226680755615,0.21175238490104675,,
15,4703,,,0.9057766795158386,0.33737853169441223
15,4703,0.9372605085372925,0.1960240751504898,,
16,4997,,,0.9017259478569031,0.34331026673316956
16,4997,0.9413580298423767,0.18916866183280945,,
17,5291,,,0.9059528112411499,0.3322172462940216
17,5291,0.9443912506103516,0.17738255858421326,,
18,5585,,,0.8930961489677429,0.3748784065246582
18,5585,0.9485419392585754,0.16411396861076355,,
19,5879,,,0.8967946171760559,0.378309965133667
19,5879,0.9515751600265503,0.15385282039642334,,
20,6173,,,0.9110602140426636,0.31853246688842773
20,6173,0.9508833289146423,0.15200434625148773,,
21,6467,,,0.8959140777587891,0.3845405876636505
21,6467,0.9578543901443481,0.130330428481102,,
22,6761,,,0.9144064784049988,0.3166232705116272
22,6761,0.9593443870544434,0.12927144765853882,,
23,7055,,,0.9089468121528625,0.3406221568584442
23,7055,0.9615793824195862,0.12270333617925644,,
24,7349,,,0.8938006162643433,0.41093218326568604
24,7349,0.9632290601730347,0.11182355135679245,,
25,7643,,,0.8982036113739014,0.4031541645526886
25,7643,0.9633886814117432,0.1150948703289032,,
26,7937,,,0.8952096104621887,0.406891793012619
26,7937,0.9633886814117432,0.11287959665060043,,
27,8231,,,0.9147587418556213,0.3334867060184479
27,8231,0.9644529819488525,0.10631763190031052,,
