epoch,step,train_acc,train_loss,val_acc,val_loss
0,435,,,0.5272045135498047,1.7034236192703247
0,435,0.3677946627140045,2.1973798274993896,,
1,871,,,0.696060061454773,1.0990276336669922
1,871,0.6507025957107544,1.1901211738586426,,
2,1307,,,0.7983114719390869,0.6546834707260132
2,1307,0.80083167552948,0.7191852927207947,,
3,1743,,,0.8180112838745117,0.622027575969696
3,1743,0.8640665411949158,0.5029038786888123,,
4,2179,,,0.8658536672592163,0.4731202721595764
4,2179,0.8926010727882385,0.3871476352214813,,
5,2615,,,0.8414633870124817,0.5222766995429993
5,2615,0.921995997428894,0.290439635515213,,
6,3051,,,0.8677298426628113,0.4961586892604828
6,3051,0.9301692247390747,0.260125070810318,,
7,3487,,,0.9183865189552307,0.32621464133262634
7,3487,0.9460854530334473,0.2023463100194931,,
8,3923,,,0.9240149855613708,0.29229557514190674
8,3923,0.9495267868041992,0.1938353180885315,,
9,4359,,,0.9165103435516357,0.3381452262401581
9,4359,0.9555491805076599,0.16374337673187256,,
10,4795,,,0.9324578046798706,0.2587909996509552
10,4795,0.9579868316650391,0.16095104813575745,,
11,5231,,,0.9418386220932007,0.23438061773777008
11,5231,0.9611414074897766,0.14345349371433258,,
12,5667,,,0.9212007522583008,0.3647589385509491
12,5667,0.9685976505279541,0.1161162331700325,,
13,6103,,,0.9315196871757507,0.29749995470046997
13,6103,0.9671637415885925,0.12377063930034637,,
14,6539,,,0.9409005641937256,0.2577999532222748
14,6539,0.97246915102005,0.11003647744655609,,
15,6975,,,0.9183865189552307,0.3382202684879303
15,6975,0.9716088175773621,0.10581666976213455,,
16,7411,,,0.9390243887901306,0.2711629867553711
16,7411,0.9710353016853333,0.1029663160443306,,
