epoch,step,train_acc,train_loss,val_acc,val_loss
0,540,,,0.9420062899589539,0.19673867523670197
0,540,0.9277957677841187,0.22689254581928253,,
1,1081,,,0.9318181872367859,0.20337601006031036
1,1081,0.9518253207206726,0.16980065405368805,,
2,1622,,,0.9482758641242981,0.1879732310771942
2,1622,0.9578326940536499,0.1498609036207199,,
3,2163,,,0.9561128616333008,0.14960217475891113
3,2163,0.9628003835678101,0.13790442049503326,,
4,2704,,,0.9576802253723145,0.1700553596019745
4,2704,0.9629158973693848,0.1256326586008072,,
5,3245,,,0.9592476487159729,0.13965487480163574
5,3245,0.9654574990272522,0.11746757477521896,,
6,3786,,,0.9584639668464661,0.15486553311347961
6,3786,0.9696164727210999,0.10096915811300278,,
7,4327,,,0.9655172228813171,0.1309804618358612
7,4327,0.9723891019821167,0.09056004136800766,,
8,4868,,,0.9600313305854797,0.13852204382419586
8,4868,0.9766635894775391,0.0738343596458435,,
9,5409,,,0.9694357514381409,0.14490383863449097
9,5409,0.9789741039276123,0.0675840824842453,,
10,5950,,,0.9663009643554688,0.1267644613981247
10,5950,0.9818623065948486,0.059280212968587875,,
11,6491,,,0.9584639668464661,0.19829319417476654
11,6491,0.9834796786308289,0.0519891120493412,,
12,7032,,,0.9647335410118103,0.11373975872993469
12,7032,0.9847504496574402,0.05040492117404938,,
13,7573,,,0.9608150720596313,0.15301944315433502
13,7573,0.987523078918457,0.041161004453897476,,
14,8114,,,0.9600313305854797,0.14907270669937134
14,8114,0.9878696799278259,0.04090007022023201,,
15,8655,,,0.9655172228813171,0.14843375980854034
15,8655,0.9883317947387695,0.038140345364809036,,
16,9196,,,0.9631661176681519,0.16000476479530334
16,9196,0.9884473085403442,0.036580707877874374,,
17,9737,,,0.9647335410118103,0.14140819013118744
17,9737,0.9899491667747498,0.03475632146000862,,
