Key,Time (ms),Frame
shift_l,1739340113018,41
i,1739340113369,52
n,1739340113568,58
space,1739340113768,64
2,1739340114354,81
0,1739340114793,94
2,1739340115081,103
3,1739340115583,118
space,1739340115891,127
backspace,1739340116277,139
comma,1739340116682,151
space,1739340116945,159
7,1739340117553,177
5,1739340117826,185
8,1739340118663,210
9,1739340118939,219
2,1739340120069,253
5,1739340120382,262
space,1739340120932,279
w,1739340121350,291
c,1739340121653,300
backspace,1739340122260,318
backspace,1739340122431,323
s,1739340122806,335
c,1739340123669,361
i,1739340123744,363
n,1739340124057,372
e,1739340124179,376
backspace,1739340124809,395
backspace,1739340124979,400
n,1739340125611,419
t,1739340125821,425
e,1739340126076,433
backspace,1739340126354,441
backspace,1739340126491,445
backspace,1739340126650,450
backspace,1739340126799,455
i,1739340127552,477
e,1739340127775,484
n,1739340127992,490
t,1739340128240,498
e,1739340128451,504
backspace,1739340128965,520
i,1739340129215,527
s,1739340129307,530
t,1739340129503,536
s,1739340129914,548
space,1739340130145,555
w,1739340130315,560
o,1739340130408,563
r,1739340130599,569
k,1739340130752,573
e,1739340130930,578
d,1739340131143,585
space,1739340131342,591
o,1739340131528,596
n,1739340131731,602
space,1739340131864,606
5,1739340132591,628
1,1739340132922,638
2,1739340133672,661
3,1739340133991,670
5,1739340134271,679
5,1739340134452,684
space,1739340134782,694
e,1739340134999,701
s,1739340135250,708
o,1739340135518,716
e,1739340135707,722
r,1739340135787,724
backspace,1739340136086,733
backspace,1739340136261,738
backspace,1739340136418,743
backspace,1739340136563,747
x,1739340136828,755
o,1739340137093,763
e,1739340137419,773
r,1739340137594,778
backspace,1739340137906,788
backspace,1739340138078,793
backspace,1739340138254,798
p,1739340138785,814
e,1739340139054,822
r,1739340139276,829
n,1739340139525,836
backspace,1739340140149,855
i,1739340140353,861
m,1739340140577,868
e,1739340140662,870
n,1739340140818,875
t,1739340141014,881
s,1739340141329,890
space,1739340141536,897
f,1739340141761,903
o,1739340141970,910
r,1739340142225,917
space,1739340142497,925
6,1739340143637,960
5,1739340143938,969
1,1739340144675,991
5,1739340145079,1003
1,1739340146062,1032
3,1739340146417,1043
5,1739340146697,1051
space,1739340147045,1062
m,1739340147343,1071
o,1739340147513,1076
n,1739340147688,1081
t,1739340147796,1084
h,1739340147912,1088
s,1739340148216,1097
space,1739340148577,1108
backspace,1739340148905,1118
comma,1739340149243,1128
space,1739340149464,1134
r,1739340150325,1160
u,1739340150500,1166
n,1739340150956,1179
n,1739340151117,1184
i,1739340151476,1195
n,1739340151663,1200
g,1739340151856,1206
space,1739340152073,1213
5,1739340152968,1240
backspace,1739340153730,1262
1,1739340154289,1279
5,1739340154784,1294
1,1739340155382,1312
8,1739340156065,1333
0,1739340157261,1368
8,1739340157721,1382
space,1739340158495,1405
e,1739340158919,1418
backspace,1739340159715,1442
t,1739340160137,1455
e,1739340160236,1458
s,1739340160540,1467
t,1739340160735,1473
s,1739340161023,1481
space,1739340161244,1488
d,1739340161434,1494
a,1739340161629,1499
i,1739340161813,1505
l,1739340162056,1512
y,1739340162566,1528
space,1739340162818,1535
a,1739340162988,1540
c,1739340163260,1548
r,1739340164006,1571
o,1739340164187,1576
s,1739340164585,1588
s,1739340164760,1593
space,1739340165090,1603
1,1739340165646,1620
6,1739340166161,1635
6,1739340166387,1642
4,1739340167823,1685
3,1739340168372,1702
7,1739340168534,1707
space,1739340168828,1715
l,1739340169013,1721
a,1739340169486,1735
b,1739340169797,1744
s,1739340170216,1757
space,1739340170479,1765
q,1739340170667,1771
i,1739340170812,1775
t,1739340170975,1780
h,1739340171136,1785
backspace,1739340171494,1795
backspace,1739340171638,1800
backspace,1739340171760,1803
backspace,1739340171935,1809
backspace,1739340172079,1813
w,1739340172298,1819
i,1739340172498,1825
backspace,1739340172848,1836
backspace,1739340173032,1842
space,1739340173596,1858
w,1739340173745,1863
i,1739340174015,1871
t,1739340174215,1877
h,1739340174383,1882
space,1739340174640,1890
4,1739340175851,1926
9,1739340176233,1938
0,1739340177279,1969
backspace,1739340177853,1986
0,1739340178677,2011
0,1739340178862,2016
space,1739340179257,2028
d,1739340179514,2036
i,1739340179608,2039
n,1739340179917,2048
backspace,1739340180330,2060
backspace,1739340180502,2066
backspace,1739340180679,2071
c,1739340180992,2080
i,1739340181331,2090
backspace,1739340182059,2112
o,1739340182582,2128
m,1739340182892,2137
p,1739340183140,2145
u,1739340183349,2151
t,1739340183463,2154
e,1739340183712,2162
r,1739340183866,2167
backspace,1739340184339,2181
backspace,1739340184508,2186
u,1739340184815,2195
r,1739340184909,2198
e,1739340184999,2201
backspace,1739340185646,2220
backspace,1739340185824,2225
e,1739340186087,2233
r,1739340186213,2237
s,1739340187154,2265
space,1739340187461,2274
a,1739340187768,2284
n,1739340187994,2290
d,1739340188218,2297
space,1739340188468,2305
3,1739340189396,2332
