Key,Frame
shift,71
b,72
e,78
n,84
e,90
a,97
t,100
h,102
space,109
t,112
h,116
e,119
space,122
b,127
r,133
i,135
g,140
h,143
t,149
space,154
e,166
v,172
e,177
n,180
i,190
n,196
g,200
space,204
s,206
k,215
e,218
y,225
backspace,233
backspace,237
y,241
k,250
backspace,261
comma,267
space,273
5,283
space,289
y,297
o,303
u,305
n,312
g,328
space,333
e,340
x,347
p,351
l,361
o,366
r,375
e,379
r,384
e,385
backspace,399
s,405
space,411
g,425
a,429
t,433
h,442
e,448
r,451
s,459
backspace,466
e,468
d,473
space,479
t,489
o,492
space,496
c,501
o,505
u,508
n,514
t,520
space,528
t,535
h,538
e,542
space,546
s,549
t,553
a,558
r,561
t,567
backspace,577
s,581
space,584
backspace,596
comma,603
space,609
e,613
a,615
c,621
h,625
space,632
t,635
a,641
k,644
i,649
n,654
g,658
space,661
t,665
u,670
r,675
n,679
s,694
space,701
n,706
u,710
backspace,723
a,728
m,731
i,742
n,748
g,755
space,759
c,766
o,769
n,772
t,788
backspace,797
s,799
t,803
e,812
l,818
l,823
a,828
t,831
i,833
o,840
n,843
s,848
space,880
f,883
r,889
o,893
m,915
space,919
shift,932
a,932
space,942
t,944
o,956
space,966
z,975
shift,976
period,985
space,997
shift,1012
t,1012
h,1018
e,1022
space,1027
q,1036
i,1041
c,1044
k,1047
backspace,1055
backspace,1058
backspace,1064
u,1071
i,1076
c,1081
k,1087
space,1095
b,1103
r,1118
o,1124
w,1127
n,1132
space,1146
f,1152
o,1156
x,1159
space,1162
l,1169
e,1174
a,1179
p,1185
t,1196
space,1206
g,1215
r,1221
a,1225
c,1234
e,1240
f,1249
u,1255
l,1259
l,1263
y,1268
space,1276
o,1282
v,1284
e,1292
r,1295
space,1298
7,1324
space,1334
s,1354
l,1360
e,1365
e,1369
p,1375
y,1382
space,1387
d,1391
o,1395
g,1401
s,1403
space,1409
w,1414
h,1419
backspace,1425
backspace,1430
backspace,1435
comma,1443
space,1448
s,1477
h,1483
backspace,1490
backspace,1493
w,1501
h,1505
i,1510
l,1514
e,1517
space,1522
3,1529
space,1534
c,1541
h,1545
i,1551
r,1556
p,1564
i,1576
n,1584
g,1586
space,1590
c,1615
r,1623
e,1624
backspace,1639
i,1644
c,1650
k,1656
e,1663
t,1668
s,1677
space,1684
s,1690
e,1698
n,1703
backspace,1712
r,1718
e,1720
n,1723
a,1752
d,1756
e,1761
d,1768
