Key,Frame
o,55
shift,55
n,60
space,67
a,71
space,78
b,82
r,88
w,98
backspace,112
e,113
e,124
z,133
y,140
space,147
n,152
backspace,162
s,165
u,168
m,174
m,178
e,191
r,193
space,199
a,204
f,206
t,211
e,218
r,219
n,224
o,228
o,234
n,237
comma,250
space,257
5,271
space,280
a,292
d,298
v,305
e,308
n,312
t,324
u,333
r,338
e,341
r,358
s,366
space,372
t,384
r,391
e,405
k,412
e,419
backspace,435
k,442
e,444
d,453
space,459
t,468
h,472
r,478
o,478
backspace,491
backspace,496
r,500
o,503
u,506
g,510
h,514
space,522
a,529
space,530
v,537
i,540
b,546
r,553
e,557
a,563
backspace,570
backspace,574
a,578
n,582
t,587
space,592
m,605
e,609
a,612
n,619
backspace,628
d,631
o,637
w,640
comma,671
space,675
t,678
h,681
e,686
space,691
backspace,706
i,715
r,721
space,725
b,732
a,736
c,742
k,745
p,752
a,756
c,760
k,765
s,770
space,775
l,784
a,787
b,792
l,797
e,797
d,805
space,816
backspace,821
backspace,826
backspace,831
backspace,843
e,857
l,862
e,864
d,878
space,881
f,884
o,889
r,891
m,897
space,902
backspace,913
backspace,917
backspace,922
backspace,926
r,933
o,936
m,942
space,946
shift,960
a,960
space,967
t,971
o,974
space,979
z,987
shift,987
period,1001
backspace,1015
period,1028
space,1036
shift,1064
a,1065
space,1070
b,1075
backspace,1091
q,1097
i,1103
backspace,1108
u,1113
i,1117
c,1121
k,1126
space,1132
b,1141
r,1149
o,1153
w,1157
n,1163
space,1170
f,1175
o,1179
x,1184
space,1190
d,1201
a,1207
h,1211
s,1220
backspace,1224
backspace,1228
s,1232
h,1236
e,1240
d,1246
space,1250
f,1255
o,1259
r,1265
backspace,1271
backspace,1275
backspace,1280
p,1293
a,1305
s,1308
t,1314
space,1316
7,1339
space,1348
g,1365
r,1372
a,1374
z,1384
i,1386
n,1393
g,1397
space,1399
d,1405
e,1418
e,1423
r,1425
comma,1446
space,1448
w,1454
h,1457
i,1459
l,1467
e,1469
space,1475
5,1490
backspace,1504
6,1521
space,1532
f,1541
r,1546
i,1551
g,1555
h,1558
backspace,1569
backspace,1573
backspace,1591
o,1599
g,1604
s,1610
space,1617
h,1631
o,1637
o,1640
backspace,1653
p,1660
p,1664
e,1667
d,1672
space,1677
n,1685
e,1691
a,1694
r,1700
space,1704
a,1715
space,1720
g,1742
l,1746
i,1752
m,1757
m,1762
e,1770
r,1774
i,1780
n,1785
g,1787
space,1790
s,1793
t,1797
e,1803
a,1818
backspace,1829
backspace,1834
r,1839
e,1842
a,1846
m,1851
space,1859
backspace,1871
period,1879
space,1882
shift,1887
o,1890
v,1895
e,1902
r,1909
e,1920
a,1926
d,1932
backspace,1944
backspace,1952
backspace,1958
h,1965
e,1970
a,1974
d,1979
comma,1984
space,1989
9,2025
space,2037
b,2047
i,2053
r,2057
d,2068
s,2080
space,2087
c,2094
i,2097
r,2101
c,2108
l,2113
e,2145
d,2154
space,2158
t,2192
h,2196
e,2199
space,2203
s,2207
k,2213
e,2226
backspace,2237
y,2242
space,2247
backspace,2255
comma,2264
space,2269
a,2272
n,2277
d,2281
space,2284
1,2293
2,2300
space,2308
d,2324
t,2332
r,2337
backspace,2344
backspace,2348
r,2351
a,2356
g,2369
o,2375
n,2379
space,2388
backspace,2409
f,2416
i,2418
l,2425
e,2428
s,2434
backspace,2443
backspace,2448
backspace,2450
backspace,2455
l,2461
i,2469
e,2471
s,2478
space,2484
backspace,2496
space,2507
d,2511
a,2518
n,2522
c,2526
e,2532
d,2539
space,2544
a,2568
b,2573
o,2575
u,2579
backspace,2589
v,2603
e,2617
space,2624
0,2650
space,2659
r,2670
i,2675
o,2693
backspace,2705
p,2712
p,2718
l,2724
e,2727
s,2734
space,2739
i,2753
n,2759
space,2764
t,2768
h,2770
e,2779
space,2789
e,2795
w,2801
backspace,2812
backspace,2817
w,2822
a,2825
r,2834
e,2840
backspace,2846
backspace,2851
t,2853
r,2861
e,2866
backspace,2871
backspace,2876
e,2880
r,2884
comma,2904
space,2908
shift,2914
n,2915
backspace,2926
backspace,2931
backspace,2945
period,2954
space,2961
shift,2968
n,2969
e,2979
r,2982
a,2987
backspace,2997
backspace,3003
a,3006
r,3007
b,3014
y,3017
comma,3034
space,3039
2,3049
backspace,3063
3,3068
4,3073
5,3086
space,3094
f,3109
l,3117
o,3122
w,3123
e,3131
r,3136
s,3150
space,3165
b,3172
l,3179
o,3184
o,3188
m,3196
e,3203
d,3210
space,3217
i,3224
n,3227
space,3229
r,3234
a,3238
d,3243
i,3247
a,3254
n,3260
t,3264
space,3269
c,3275
o,3277
l,3282
o,3287
r,3293
s,3317
comma,3324
space,3332
a,3350
t,3356
t,3361
r,3369
a,3372
c,3379
t,3387
i,3392
n,3397
g,3403
space,3407
9,3451
backspace,3465
8,3500
9,3506
9,3512
backspace,3524
space,3531
b,3550
u,3556
z,3569
z,3575
l,3593
i,3598
backspace,3606
backspace,3609
i,3613
n,3620
g,3623
space,3626
b,3632
e,3643
e,3647
s,3653
period,3676
space,3679
shift,3687
a,3689
s,3696
space,3709
d,3714
u,3719
c,3722
backspace,3733
s,3738
k,3741
space,3750
t,3762
backspace,3773
f,3776
e,3781
l,3785
l,3789
comma,3803
space,3807
t,3819
h,3820
e,3825
space,3830
g,3848
r,3854
o,3857
u,3861
p,3868
space,3879
g,3897
a,3902
z,3913
e,3919
d,3926
space,3930
a,3937
t,3942
space,3945
5,3981
backspace,4000
6,4007
7,4016
9,4023
space,4034
backspace,4042
backspace,4045
9,4051
space,4060
backspace,4067
backspace,4072
8,4091
space,4101
s,4106
t,4110
a,4118
r,4121
s,4136
space,4141
f,4151
l,4160
backspace,4166
backspace,4171
l,4179
i,4183
g,4188
h,4191
t,4197
n,4204
i,4208
n,4213
g,4217
space,4221
u,4225
p,4232
space,4236
t,4239
h,4241
e,4247
space,4251
h,4262
e,4265
a,4267
v,4277
e,4281
n,4284
s,4289
space,4296
backspace,4305
comma,4313
space,4320
m,4347
a,4348
r,4353
v,4361
e,4369
l,4375
i,4382
n,4398
g,4401
space,4406
a,4411
t,4415
space,4416
t,4419
h,4421
e,4425
space,4429
b,4434
e,4440
a,4446
t,4450
u,4456
backspace,4467
i,4473
backspace,4484
y,4486
space,4492
o,4495
f,4499
space,4501
n,4520
a,4525
t,4527
u,4533
r,4536
e,4540
apostrophe,4554
s,4560
space,4567
e,4594
n,4598
d,4604
l,4617
e,4623
s,4629
s,4634
space,4643
p,4653
a,4655
r,4660
backspace,4673
t,4678
t,4683
e,4692
r,4693
n,4700
s,4705
space,4711
a,4729
n,4732
d,4734
space,4737
t,4740
h,4743
e,4747
space,4749
h,4757
a,4762
m,4765
r,4771
backspace,4785
backspace,4790
r,4792
m,4797
o,4802
n,4806
y,4816
space,4824
b,4832
e,4836
t,4842
w,4859
e,4864
e,4869
n,4879
space,4887
t,4892
h,4895
e,4898
space,4902
a,4916
l,4920
p,4927
h,4943
a,4947
b,4955
e,4965
t,4972
space,4976
a,4986
n,4988
d,4992
space,4996
n,4999
m,5012
b,5017
backspace,5025
backspace,5030
m,5045
backspace,5054
u,5060
m,5067
b,5073
e,5079
r,5082
s,5088
space,5093
i,5096
n,5102
space,5105
t,5108
h,5112
e,5116
i,5122
r,5135
space,5141
j,5150
o,5154
u,5157
r,5161
n,5169
e,5175
y,5179
period,5201
