Key,Frame
shift_r,52
a,52
t,62
space,71
t,81
h,84
e,90
space,93
b,100
r,106
e,112
a,116
k,124
space,132
o,140
f,145
space,148
d,156
w,162
a,167
backspace,176
backspace,182
a,185
w,197
n,203
space,213
backspace,225
comma,232
space,236
5,247
space,252
a,261
d,266
v,275
e,280
n,284
t,287
r,292
u,297
r,300
e,303
backspace,309
backspace,314
backspace,318
backspace,323
u,335
r,340
e,352
r,356
s,364
space,369
s,379
e,387
t,391
space,396
o,402
f,408
space,410
backspace,428
f,434
space,436
o,442
n,447
space,451
a,458
space,464
t,472
r,480
a,484
i,492
l,499
space,508
m,516
a,520
r,529
k,535
e,539
d,547
space,551
b,558
y,563
space,568
s,573
i,576
g,581
n,597
p,611
o,618
s,621
t,627
s,636
space,643
l,660
a,663
b,669
e,676
l,685
e,689
d,697
space,707
a,714
backspace,725
a,737
shift_r,738
space,745
t,750
o,754
space,759
z,768
shift_r,769
period,777
space,783
a,809
shift_r,810
space,815
q,819
u,824
i,829
c,835
k,839
space,845
b,852
r,859
o,867
w,871
n,883
space,889
f,895
o,898
x,905
space,912
s,926
c,933
u,962
r,970
r,975
i,981
e,984
d,991
space,996
p,1010
a,1016
s,1019
t,1026
space,1032
7,1075
space,1081
c,1094
o,1094
l,1107
o,1112
r,1119
f,1127
u,1130
l,1136
space,1146
b,1158
u,1162
t,1166
t,1171
e,1177
r,1179
f,1187
i,1190
l,1198
backspace,1216
backspace,1221
l,1228
i,1234
e,1241
s,1248
space,1254
f,1264
l,1278
u,1283
t,1292
e,1309
r,1315
backspace,1331
t,1336
backspace,1345
backspace,1351
t,1354
e,1364
r,1367
i,1371
n,1377
g,1382
space,1386
n,1395
e,1398
a,1403
r,1413
space,1419
6,1456
space,1462
f,1479
r,1485
o,1491
g,1494
s,1501
space,1507
b,1521
a,1527
s,1531
k,1543
i,1548
n,1554
g,1558
space,1560
o,1567
n,1571
space,1578
t,1585
h,1587
e,1592
space,1595
e,1602
d,1612
e,1635
backspace,1647
g,1652
e,1660
space,1666
o,1675
f,1680
space,1684
a,1693
space,1698
0,1723
space,1730
d,1745
e,1750
g,1755
r,1762
e,1764
e,1768
space,1780
d,1788
s,1796
backspace,1805
backspace,1810
s,1811
t,1819
e,1824
a,1829
m,1835
period,1857
space,1860
shift_l,1866
i,1869
n,1875
space,1879
t,1882
h,1886
e,1890
space,1893
d,1899
i,1903
s,1906
t,1911
a,1917
n,1921
c,1925
e,1934
space,1939
comma,1955
space,1963
backspace,1975
backspace,1979
backspace,1984
comma,1994
9,2041
space,2059
backspace,2067
backspace,2073
space,2077
9,2081
space,2092
d,2108
e,2116
e,2120
r,2126
space,2142
g,2160
r,2167
a,2171
z,2183
e,2188
d,2205
space,2210
p,2244
e,2250
a,2254
c,2273
e,2281
f,2289
u,2293
l,2299
l,2303
y,2311
space,2317
u,2327
n,2331
d,2334
e,2345
r,2347
space,2350
t,2356
h,2360
e,2363
space,2368
s,2372
a,2378
h,2380
backspace,2392
backspace,2397
h,2402
a,2404
d,2408
e,2415
space,2419
o,2423
f,2430
space,2433
1,2442
2,2448
space,2453
a,2458
c,2465
backspace,2479
n,2486
c,2490
i,2492
e,2498
n,2502
t,2508
space,2513
o,2530
a,2544
k,2548
s,2555
space,2561
backspace,2571
period,2580
space,2584
shift_r,2591
t,2592
h,2599
e,2607
space,2612
t,2619
r,2624
a,2628
v,2634
e,2639
l,2641
e,2656
r,2659
s,2666
space,2671
p,2689
a,2691
u,2696
s,2701
e,2705
d,2713
space,2717
t,2723
o,2726
space,2731
a,2736
d,2741
m,2753
i,2758
r,2764
e,2769
space,2772
8,2828
9,2836
space,2842
w,2869
i,2883
l,2889
d,2892
f,2927
l,2930
o,2937
w,2939
e,2948
r,2950
s,2976
space,2982
b,2993
l,3007
o,3014
o,3019
m,3026
i,3031
n,3037
g,3043
space,3046
i,3060
n,3066
space,3072
v,3078
i,3081
r,3091
backspace,3103
b,3104
r,3113
a,3120
n,3127
t,3129
space,3136
b,3153
backspace,3161
h,3165
u,3171
e,3175
s,3184
space,3199
backspace,3207
space,3214
a,3218
n,3222
d,3225
space,3227
c,3232
o,3235
u,3240
n,3247
t,3252
e,3254
d,3263
space,3268
3,3305
4,3313
5,3323
space,3327
p,3348
e,3362
b,3376
b,3394
l,3402
e,3404
d,3423
backspace,3447
s,3451
space,3457
f,3474
o,3479
r,3484
m,3488
i,3492
n,3498
g,3503
space,3505
a,3512
space,3518
n,3545
a,3548
t,3555
u,3566
r,3573
a,3580
l,3585
space,3592
m,3609
o,3614
s,3624
a,3630
i,3638
c,3642
space,3651
a,3670
l,3673
o,3679
n,3684
g,3689
space,3692
t,3696
h,3699
e,3703
space,3707
p,3715
a,3717
t,3721
h,3724
period,3755
space,3761
shift_r,3767
b,3768
y,3775
space,3781
n,3791
i,3796
g,3798
h,3801
t,3806
f,3816
a,3823
l,3826
l,3831
comma,3853
space,3859
u,3861
n,3867
d,3870
e,3882
r,3886
space,3890
t,3895
backspace,3904
a,3908
space,3915
k,3919
backspace,3927
s,3932
k,3935
e,3941
backspace,3952
y,3957
space,3961
g,3978
l,3987
i,3991
t,3995
t,4000
e,4007
r,4009
i,4011
n,4014
g,4018
space,4021
w,4025
i,4027
t,4031
h,4033
space,4037
3,4046
backspace,4062
6,4093
7,4101
8,4108
space,4115
s,4133
t,4138
a,4142
r,4146
s,4158
comma,4174
space,4178
t,4183
h,4187
e,4191
y,4197
space,4204
s,4212
h,4217
a,4220
r,4225
e,4226
d,4232
space,4237
s,4244
t,4250
o,4256
r,4260
i,4268
e,4285
s,4293
space,4298
o,4304
f,4309
space,4313
d,4321
i,4325
s,4330
c,4336
o,4341
v,4351
e,4361
r,4365
y,4371
space,4380
backspace,4389
comma,4397
space,4402
m,4411
a,4417
r,4422
v,4432
e,4437
l,4441
i,4446
n,4452
g,4458
space,4462
a,4468
t,4474
space,4478
t,4480
h,4487
e,4492
space,4497
u,4507
n,4513
i,4517
t,4522
y,4527
space,4534
o,4537
f,4542
space,4545
n,4550
a,4556
t,4560
u,4566
r,4570
e,4574
apostrophe,4593
backspace,4613
s,4629
space,4633
l,4640
e,4645
t,4652
t,4658
e,4664
r,4667
s,4674
space,4680
a,4691
n,4697
d,4699
space,4703
n,4705
u,4710
m,4718
b,4720
e,4729
r,4731
s,4737
period,4759
