Key,Frame
shift_r,62
a,69
backspace,81
shift_r,94
a,96
t,106
space,109
d,116
o,119
backspace,129
a,133
n,141
w,144
backspace,153
backspace,158
w,160
n,164
space,177
backspace,183
comma,191
space,197
5,207
space,213
c,222
u,227
r,231
i,237
o,243
u,247
s,252
space,260
c,272
h,276
i,278
l,285
d,287
r,297
e,300
n,305
space,311
w,321
a,329
n,346
d,351
e,359
r,363
e,365
d,372
space,376
t,379
backspace,389
i,394
n,399
t,403
space,407
t,411
o,414
backspace,422
backspace,426
o,435
backspace,443
backspace,448
o,453
t,459
space,463
t,465
h,470
backspace,480
backspace,485
backspace,490
backspace,494
space,507
t,509
h,511
e,515
space,520
e,534
n,539
c,550
h,556
a,563
n,571
t,577
e,581
d,590
space,593
f,602
o,606
r,610
e,623
a,627
backspace,639
s,640
t,649
comma,662
space,666
g,672
u,691
i,694
l,703
d,707
e,728
d,734
backspace,747
backspace,752
backspace,756
backspace,761
backspace,767
i,784
d,822
e,830
d,838
space,842
b,863
y,868
space,873
t,880
backspace,889
a,892
space,896
t,898
r,905
a,909
i,913
n,918
l,925
backspace,934
backspace,938
l,946
space,952
m,967
a,970
r,975
k,980
e,982
d,989
space,995
w,1005
i,1007
t,1010
h,1014
space,1018
l,1034
e,1036
t,1043
t,1047
e,1055
r,1058
s,1065
space,1070
a,1079
shift_r,1080
space,1084
t,1093
h,1100
r,1104
o,1111
u,1114
g,1121
h,1126
space,1133
shift_r,1147
z,1148
period,1157
space,1162
shift_r,1178
t,1180
h,1186
e,1191
space,1197
q,1202
u,1207
i,1211
c,1214
k,1220
space,1226
b,1237
r,1245
o,1253
w,1262
n,1269
space,1275
f,1281
o,1286
x,1291
space,1297
p,1308
l,1315
a,1319
y,1341
f,1353
u,1381
l,1388
l,1393
y,1398
space,1409
d,1422
a,1429
r,1435
t,1442
e,1446
d,1455
space,1459
b,1465
e,1473
t,1476
w,1481
e,1492
e,1500
n,1507
space,1514
7,1557
space,1563
t,1570
o,1575
w,1579
e,1597
r,1600
i,1604
n,1611
g,1618
space,1622
t,1638
r,1645
e,1649
e,1655
s,1667
space,1672
backspace,1683
comma,1691
space,1695
w,1697
h,1703
i,1705
l,1713
e,1719
space,1724
6,1759
space,1769
g,1777
backspace,1799
f,1802
r,1807
i,1811
backspace,1823
o,1829
g,1831
s,1839
space,1846
l,1865
e,1874
a,1878
p,1883
t,1887
space,1900
i,1907
n,1912
t,1915
o,1919
space,1923
a,1929
space,1935
0,1970
space,1975
d,1981
e,1987
g,1992
r,1999
e,2002
e,2007
space,2017
c,2038
r,2046
y,2060
s,2064
t,2068
a,2075
l,2079
space,2087
c,2097
l,2105
e,2109
a,2114
r,2118
space,2123
p,2130
o,2139
i,2142
backspace,2154
n,2160
d,2165
period,2171
space,2175
shift_l,2209
o,2209
v,2215
e,2224
r,2227
space,2230
backspace,2239
h,2245
e,2250
a,2254
d,2262
comma,2274
space,2277
9,2323
space,2332
s,2360
p,2365
a,2375
r,2381
r,2398
o,2404
w,2407
s,2413
space,2421
c,2445
h,2451
i,2453
r,2458
p,2463
e,2468
d,2475
space,2480
a,2488
t,2495
space,2499
backspace,2511
backspace,2515
s,2524
space,2531
t,2538
h,2543
e,2547
y,2552
space,2557
f,2564
l,2567
o,2574
w,2581
backspace,2592
backspace,2598
e,2602
w,2607
space,2612
p,2618
a,2620
s,2624
t,2632
space,2633
1,2640
2,2643
space,2656
s,2669
h,2683
i,2686
m,2693
m,2697
e,2705
r,2708
i,2710
n,2716
g,2721
space,2725
c,2752
o,2755
b,2760
w,2772
e,2778
b,2785
s,2793
space,2799
g,2810
l,2820
i,2832
s,2837
t,2844
e,2853
r,2856
n,2866
i,2870
backspace,2878
backspace,2883
backspace,2886
n,2895
i,2901
n,2905
g,2910
space,2913
i,2920
n,2925
space,2929
t,2932
h,2935
e,2939
space,2943
l,2945
i,2949
g,2953
h,2957
t,2963
period,2969
space,2975
t,3009
shift_r,3015
e,3024
h,3030
backspace,3040
backspace,3044
h,3050
e,3057
space,3063
a,3075
v,3087
backspace,3099
d,3102
v,3107
e,3112
n,3115
t,3118
r,3126
u,3129
r,3134
e,3138
backspace,3145
backspace,3149
backspace,3154
backspace,3159
u,3164
r,3168
e,3172
e,3203
r,3206
backspace,3218
backspace,3222
r,3225
s,3231
space,3238
c,3251
o,3257
u,3260
n,3267
t,3272
e,3276
d,3285
space,3290
8,3341
9,3347
