Key,Frame
shift_l,43
o,44
n,49
space,56
a,65
space,71
s,75
t,84
a,114
r,120
l,131
i,137
t,143
space,150
n,154
i,158
g,161
h,164
t,171
comma,181
space,187
5,209
space,214
s,222
t,231
a,246
r,255
g,285
a,293
z,300
e,310
r,315
s,321
space,331
g,346
a,351
t,357
h,364
e,373
r,375
e,379
d,388
space,393
o,412
n,418
space,423
a,434
space,439
h,448
i,452
l,458
l,464
comma,472
space,479
t,490
h,495
i,500
backspace,513
e,532
i,537
r,543
space,549
n,554
o,559
t,564
e,570
b,578
o,584
o,588
k,594
s,606
space,612
f,618
i,621
l,627
l,633
e,636
d,645
space,650
w,660
i,664
t,669
h,673
space,679
s,683
k,689
e,701
t,708
c,716
h,721
e,726
s,748
space,757
f,762
r,768
o,773
m,779
space,787
shift_r,798
a,802
space,808
t,813
backspace,822
backspace,827
backspace,831
a,848
shift_r,850
space,857
t,863
o,866
space,871
shift_r,879
z,881
period,889
space,896
shift_r,911
a,912
space,919
q,931
u,937
i,942
c,947
k,951
space,960
b,968
r,975
o,985
w,991
n,996
space,1006
backspace,1016
space,1027
f,1031
o,1035
x,1041
space,1048
d,1066
a,1072
r,1078
t,1087
e,1094
d,1102
space,1106
a,1121
c,1127
r,1158
o,1165
s,1170
s,1175
space,1186
t,1196
h,1200
e,1204
space,1208
m,1214
e,1218
a,1222
d,1227
o,1240
w,1244
comma,1254
space,1260
w,1267
a,1272
backspace,1292
e,1295
a,1305
v,1321
i,1326
n,1331
g,1334
space,1338
t,1341
h,1345
backspace,1353
backspace,1358
b,1367
e,1375
t,1382
w,1406
e,1414
e,1420
n,1427
space,1432
7,1452
space,1461
c,1474
u,1478
r,1488
i,1494
s,1501
o,1507
backspace,1516
backspace,1521
o,1530
u,1537
s,1546
space,1553
r,1581
a,1587
b,1599
i,1607
t,1611
t,1620
backspace,1632
backspace,1638
b,1645
i,1650
backspace,1662
backspace,1667
backspace,1672
b,1696
i,1700
t,1707
s,1727
space,1731
a,1737
n,1742
d,1748
space,1754
f,1759
backspace,1780
6,1812
space,1821
f,1826
o,1832
r,1836
backspace,1845
backspace,1851
r,1853
o,1857
g,1875
s,1883
space,1891
c,1942
r,1949
o,1956
k,1968
backspace,1978
a,1982
k,1986
i,1990
n,1995
g,2001
