Key,Frame
shift,71
o,79
shift,83
n,91
space,97
a,116
space,123
c,146
r,152
i,160
s,165
p,172
space,205
shift,214
o,218
shift,221
c,229
t,236
o,243
r,252
b,258
e,266
r,269
backspace,287
backspace,292
backspace,299
backspace,304
b,321
e,326
r,327
space,342
e,357
v,363
e,369
n,379
i,383
n,390
g,393
space,401
backspace,411
comma,418
space,425
5,439
space,444
d,462
a,474
r,478
i,482
n,488
g,492
space,499
a,509
d,532
v,546
e,554
n,561
t,582
u,589
r,601
e,607
s,614
space,644
s,653
e,660
t,665
space,670
o,677
u,683
t,688
space,693
t,699
o,703
space,709
e,722
x,730
p,736
l,742
o,749
r,754
e,760
space,769
t,796
h,800
e,806
space,814
f,823
o,828
r,833
e,841
s,851
t,862
comma,886
space,891
c,898
a,903
r,908
r,914
y,935
i,941
n,950
h,968
space,977
backspace,992
backspace,996
g,1010
space,1014
a,1026
p,1031
backspace,1044
backspace,1048
m,1059
a,1067
p,1070
s,1075
space,1084
m,1107
a,1110
r,1116
k,1121
e,1149
d,1159
space,1166
f,1172
o,1187
r,1192
backspace,1203
backspace,1209
r,1220
o,1225
m,1233
space,1238
shift,1248
a,1256
shift,1263
t,1268
o,1276
space,1282
backspace,1291
backspace,1296
space,1307
backspace,1315
backspace,1320
space,1328
t,1329
o,1336
space,1342
shift,1349
z,1392
period,1426
space,1438
t,1459
shift,1467
h,1472
e,1480
y,1503
space,1511
d,1529
i,1535
s,1541
c,1558
o,1563
v,1576
e,1582
r,1587
s,1595
backspace,1609
d,1620
backspace,1629
e,1633
d,1639
space,1645
1,1672
2,1681
space,1688
h,1696
i,1701
d,1714
d,1745
e,1750
n,1757
space,1769
c,1776
a,1792
v,1798
e,1803
s,1810
comma,1833
space,1839
8,1853
space,1861
s,1870
p,1875
a,1890
r,1896
k,1903
i,1908
n,1914
g,1921
backspace,1947
backspace,1951
backspace,1958
l,1971
i,1976
n,1983
g,1987
space,1991
s,2039
t,2045
r,2052
e,2058
a,2068
s,2082
comma,2096
space,2103
a,2109
n,2114
d,2123
space,2130
9,2143
space,2151
g,2190
l,2194
o,2200
w,2206
i,2209
n,2216
g,2220
space,2227
f,2265
i,2273
r,2279
e,2286
f,2332
i,2334
backspace,2349
l,2361
i,2367
e,2398
s,2405
space,2413
t,2423
h,2427
a,2445
t,2451
space,2459
l,2471
i,2476
t,2480
space,2484
u,2488
p,2495
space,2505
t,2521
h,2525
e,2529
space,2532
n,2538
u,2545
backspace,2576
i,2589
g,2595
h,2602
t,2605
space,2610
backspace,2623
period,2652
space,2673
shift,2678
t,2684
shift,2692
h,2696
e,2700
e,2702
space,2712
q,2723
u,2728
i,2738
c,2744
k,2749
space,2755
b,2780
r,2786
o,2792
w,2816
n,2825
space,2846
f,2853
o,2859
x,2868
space,2874
d,2892
a,2900
s,2905
h,2913
e,2920
d,2925
space,2932
p,2953
a,2956
s,2961
t,2968
space,2975
7,3018
space,3022
l,3031
a,3037
z,3051
y,3060
space,3075
s,3093
q,3101
u,3108
i,3138
r,3151
r,3158
e,3176
l,3216
s,3223
comma,3257
space,3263
w,3268
h,3272
i,3278
l,3301
e,3306
space,3343
3,3362
space,3367
o,3373
w,3398
l,3404
s,3410
space,3437
h,3443
o,3450
o,3460
t,3466
e,3477
d,3485
space,3490
l,3497
o,3503
u,3511
d,3530
l,3535
t,3550
backspace,3566
y,3579
space,3628
f,3636
r,3642
o,3647
m,3658
space,3663
5,3691
space,3700
t,3713
o,3718
w,3729
e,3737
i,3744
backspace,3757
r,3771
i,3775
n,3783
g,3785
space,3791
t,3810
r,3816
e,3822
e,3829
s,3837
period,3861
space,3867
shift,3872
n,3876
shift,3889
e,3895
a,3903
r,3931
b,3939
y,3945
comma,3969
space,3975
a,3984
space,3988
g,4004
r,4009
o,4016
u,4021
p,4031
space,4040
o,4062
f,4072
space,4082
9,4094
backspace,4103
6,4114
space,4124
g,4148
r,4155
o,4164
g,4180
s,4187
space,4210
backspace,4226
backspace,4230
backspace,4234
backspace,4237
backspace,4242
backspace,4255
f,4272
o,4276
r,4282
g,4293
backspace,4311
backspace,4315
backspace,4321
r,4339
o,4345
g,4351
s,4355
s,4358
backspace,4378
space,4405
l,4414
e,4420
a,4427
p,4432
e,4449
d,4455
space,4462
o,4476
v,4480
e,4487
r,4491
space,4497
0,4531
space,4537
r,4550
o,4557
c,4564
k,4569
s,4573
space,4587
i,4598
n,4605
t,4610
o,4615
space,4622
a,4632
space,4638
p,4646
o,4653
n,4660
d,4667
space,4671
t,4689
h,4693
a,4698
t,4703
space,4710
s,4718
h,4727
i,4739
m,4748
m,4779
e,4786
r,4792
e,4801
e,4802
d,4810
backspace,4821
backspace,4826
d,4840
space,4865
l,4873
i,4879
k,4884
e,4888
space,4893
s,4898
l,4903
i,4908
v,4917
e,4924
r,4925
space,4932
u,4960
n,4967
d,4971
e,4977
r,4980
space,4989
t,5001
h,5004
e,5007
space,5012
m,5021
o,5026
o,5031
n,5040
l,5101
i,5107
g,5117
h,5120
t,5123
space,5164
shift,5172
a,5184
shift,5190
backspace,5205
backspace,5211
period,5233
space,5239
shift,5275
a,5282
shift,5289
s,5296
space,5312
t,5324
h,5328
e,5332
y,5337
space,5342
c,5353
a,5381
m,5385
p,5392
e,5401
d,5407
comma,5426
space,5435
3,5445
4,5452
5,5459
space,5473
s,5507
t,5514
a,5536
r,5547
s,5557
space,5607
t,5614
w,5624
i,5629
n,5674
k,5683
l,5692
e,5695
d,5701
space,5721
a,5729
b,5738
o,5745
v,5797
e,5802
space,5811
backspace,5827
comma,5835
a,5843
space,5844
d,5853
n,5857
space,5865
backspace,5871
backspace,5875
backspace,5880
backspace,5884
n,5897
d,5901
space,5908
t,5912
h,5915
e,5920
y,5925
space,5931
c,5940
o,5943
u,5947
n,5955
t,5959
e,5965
d,5973
space,5991
6,6016
7,6023
8,6028
space,6040
f,6052
i,6059
r,6063
e,6071
l,6121
i,6127
i,6155
e,6159
backspace,6183
backspace,6188
e,6198
s,6205
space,6210
backspace,6225
space,6238
c,6244
r,6250
backspace,6271
i,6280
r,6286
c,6318
l,6332
i,6337
n,6343
g,6346
space,6352
a,6372
o,6377
backspace,6388
r,6393
p,6394
backspace,6414
o,6425
u,6431
n,6438
d,6446
comma,6478
space,6484
m,6492
a,6496
r,6513
v,6539
e,6544
l,6554
i,6576
n,6586
g,6588
space,6600
a,6608
t,6614
space,6618
t,6627
h,6632
e,6637
space,6643
m,6662
a,6667
g,6674
i,6678
c,6686
a,6692
l,6696
space,6706
b,6758
e,6770
a,6777
u,6801
t,6805
y,6811
space,6819
o,6827
f,6832
f,6837
space,6841
n,6849
backspace,6857
backspace,6868
backspace,6875
space,6885
n,6891
u,6897
m,6905
b,6909
e,6924
r,6930
s,6945
space,6952
a,6966
n,6970
d,6977
space,6983
n,6992
a,6996
u,6999
t,7018
backspace,7026
backspace,7032
t,7044
u,7047
r,7055
e,7061
space,7069
e,7094
n,7102
t,7110
w,7139
i,7144
n,7151
e,7156
d,7162
period,7196
