Key,Frame
shift,19
i,23
shift,29
n,54
space,66
t,73
h,76
e,83
space,90
b,111
u,117
s,125
g,130
i,135
backspace,149
backspace,154
t,164
i,168
n,176
g,180
space,187
t,200
o,206
w,216
n,222
space,230
s,265
q,271
a,277
u,288
backspace,310
backspace,316
u,330
a,338
r,357
e,365
comma,387
space,394
5,411
space,420
j,441
u,446
g,459
g,464
l,470
e,474
s,484
space,492
p,513
e,519
r,524
f,538
o,542
r,573
m,580
e,602
d,609
space,627
t,632
r,637
i,652
c,658
k,664
space,672
backspace,684
s,721
space,744
w,754
i,760
t,764
h,769
space,774
space,775
g,807
l,812
o,819
w,831
i,835
n,843
g,846
space,854
b,894
a,901
l,903
l,908
s,915
space,927
m,935
a,937
e,945
backspace,974
r,981
k,988
e,994
d,1001
slash,1043
backspace,1081
left,1133
left,1142
left,1167
left,1179
backslash,1206
backspace,1237
backspace,1246
right,1327
right,1335
space,1372
shift,1400
a,1407
shift,1413
space,1418
t,1422
o,1427
space,1432
shift,1437
z,1446
shift,1453
comma,1495
space,1499
d,1509
a,1516
z,1522
z,1528
i,1530
n,1537
g,1540
space,1545
a,1584
space,1590
c,1606
r,1613
o,1618
w,1622
n,1628
backspace,1662
d,1667
space,1679
o,1686
f,1709
space,1714
3,1724
4,1730
5,1737
space,1746
c,1754
h,1759
e,1766
e,1778
r,1784
i,1790
n,1799
g,1803
space,1813
o,1821
n,1828
l,1834
o,1840
o,1845
k,1852
e,1859
r,1864
s,1872
period,1896
space,1902
shift,1903
a,1915
shift,1924
space,1929
q,1943
u,1948
c,1955
i,1958
backspace,1980
backspace,1988
i,1998
c,2003
k,2008
space,2014
b,2032
r,2038
o,2042
w,2054
n,2086
space,2106
f,2114
o,2118
x,2133
space,2152
d,2165
a,2175
r,2180
t,2196
e,2201
d,2210
space,2221
b,2231
e,2238
t,2245
w,2257
w,2269
backspace,2282
e,2286
e,2291
n,2295
space,2302
7,2336
space,2355
c,2362
o,2368
l,2380
e,2386
r,2391
backspace,2410
backspace,2416
o,2429
e,2435
r,2440
backspace,2462
backspace,2468
r,2480
f,2516
u,2517
l,2526
space,2548
s,2562
t,2568
a,2576
l,2599
l,2604
s,2610
comma,2632
space,2637
w,2643
i,2647
backspace,2667
h,2689
i,2694
l,2702
r,2704
backspace,2723
e,2727
space,2736
6,2770
space,2777
f,2787
o,2790
backspace,2805
r,2810
o,2816
g,2839
s,2849
space,2861
c,2908
r,2914
a,2921
k,2934
backspace,2950
backspace,2954
o,2967
a,2972
k,2976
e,2994
d,3001
space,3012
m,3022
e,3028
l,3035
o,3041
d,3065
i,3071
o,3088
u,3103
l,3112
backspace,3127
s,3136
l,3144
y,3158
space,3183
b,3191
y,3202
space,3208
a,3212
a,3213
space,3225
d,3234
e,3252
g,3258
r,3265
e,3272
e,3278
space,3300
f,3317
o,3323
u,3327
n,3334
t,3341
a,3350
i,3350
n,3358
period,3396
space,3402
shift,3408
n,3411
shift,3419
e,3424
a,3433
r,3439
space,3447
backspace,3456
b,3467
y,3476
comma,3490
space,3498
1,3520
2,3526
space,3529
m,3536
