Key,Frame
o,23
o,47
o,181
space,189
o,197
o,203
o,213
space,233
w,240
w,246
w,252
space,259
w,265
w,271
w,277
space,290
o,298
o,303
o,309
space,320
w,327
w,335
w,340
w,345
backspace,381
space,389
l,409
l,415
l,423
space,433
o,464
o,469
o,475
space,485
l,492
l,498
l,504
space,512
o,518
o,524
o,534
space,543
s,549
s,560
s,568
space,574
w,587
w,593
w,600
space,607
w,616
backspace,633
s,638
s,644
s,650
space,655
w,662
w,668
w,675
space,683
l,700
o,705
l,718
space,763
l,810
o,815
l,824
space,835
s,843
w,850
s,859
space,865
s,880
w,886
s,893
space,898
o,911
l,920
o,927
space,938
o,944
l,951
o,957
space,962
w,989
s,996
w,1002
space,1009
w,1014
s,1022
w,1028
space,1035
a,1041
w,1056
a,1063
space,1071
a,1083
w,1090
a,1106
space,1113
s,1127
w,1156
s,1163
space,1172
s,1179
w,1185
s,1192
space,1198
d,1235
w,1242
d,1253
space,1261
d,1267
w,1274
d,1282
space,1289
f,1310
w,1317
f,1324
space,1345
f,1352
w,1359
f,1364
