Frame,Key
72,j
78,o
84,h
91,n
116,comma
125,space
132,i
138,space
144,f
154,delete
162,l
165,e
170,f
180,t
185,space
199,w
208,space
216,delete
221,delete
224,a
230,space
237,w
251,delete
259,m
262,e
273,a
279,a
292,delete
297,delete
301,s
307,s
316,g
316,e
343,delete
347,delete
352,delete
367,a
373,g
376,e
393,delete
397,delete
401,delete
428,delete
443,s
447,s
455,a
460,g
474,e
481,comma
486,space
509,delete
514,delete
518,space
526,a
531,o
536,u
550,delete
554,delete
592,o
602,delete
605,b
610,o
614,a
618,t
645,delete
649,delete
654,delete
671,o
675,u
687,t
694,space
710,t
714,h
717,i
720,s
726,space
731,l
736,a
741,s
749,t
761,space
765,w
772,e
776,e
783,k
807,comma
813,space
819,b
823,u
829,t
833,space
837,w
843,a
846,n
850,t
860,e
866,d
872,space
876,t
882,o
887,space
893,f
899,o
915,l
920,l
925,o
929,w
937,space
942,u
949,p
955,space
963,w
966,i
971,t
974,h
980,space
986,a
991,d
995,d
1005,i
1016,t
1019,i
1023,o
1027,n
1032,a
1036,l
1043,space
1057,d
1081,delete
1093,i
1099,n
1102,f
1106,o
1122,r
1127,m
1130,a
1135,t
1139,i
1145,o
1147,n
1179,space
1184,f
1187,o
1191,r
1196,space
1203,y
1208,o
1209,u
1217,space
1238,delete
1243,r
1248,space
1253,r
1256,e
1264,v
1268,i
1279,w
1294,delete
1297,e
1301,w
1330,dot
1336,space
1341,w
1346,e
1351,space
1357,h
1360,a
1367,v
1375,e
1381,space
1389,t
1398,h
1403,r
1410,e
1424,e
1431,space
1444,o
1449,f
1453,f
1459,e
1461,r
1464,e
1469,i
1478,delete
1483,delete
1487,i
1492,n
1495,g
1501,s
1508,space
1520,c
1524,u
1529,r
1534,r
1537,e
1541,n
1545,t
1549,l
1556,y
1562,space
1594,a
1615,delete
1625,a
1629,v
1634,a
1643,l
1664,delete
1669,i
1677,l
1688,a
1692,b
1700,l
1704,e
1732,space
1737,o
1740,r
1745,space
1751,c
1755,o
1762,m
1769,i
1774,n
1779,g
1788,space
1799,s
1804,o
1809,o
1815,n
1846,space
1852,t
1856,h
1858,a
1861,t
1866,space
1880,i
1885,space
1889,f
1895,e
1900,e
1904,l
1910,space
1940,w
1945,o
1949,u
1954,l
1958,d
1962,space
1990,c
1999,o
2005,m
2009,p
2016,l
2022,i
2039,m
2043,e
2047,n
2052,t
2059,space
2079,t
2083,h
2087,e
2091,space
2100,s
2110,m
2116,a
2121,l
2126,l
2149,space
2155,o
2159,r
2163,space
2169,m
2177,i
2179,d
2186,space
2192,c
2197,a
2201,p
2211,space
2224,a
2230,n
2232,d
2237,space
2254,f
2258,i
2265,x
2272,e
2277,d
2283,space
2313,i
2319,n
2325,c
2328,o
2333,m
2340,e
2364,space
2370,e
2378,x
2382,p
2387,o
2392,s
2411,u
2414,r
2417,e
2435,space
2449,a
2458,delete
2465,delete
2491,space
2499,y
2505,o
2509,u
2517,space
2527,a
2536,r
2541,e
2549,space
2573,a
2579,l
2586,r
2590,e
2597,a
2602,d
