Frame,Key
31,d
37,e
42,a
47,r
52,space
58,k
60,e
63,n
87,comma
90,space
94,f
98,i
102,r
107,s
111,t
116,space
123,o
125,f
130,f
158,comma
162,space
167,i
169,space
172,h
177,a
182,v
187,e
190,space
194,a
201,space
205,g
211,r
221,delete
223,delete
229,f
237,r
241,e
255,delete
260,i
262,e
267,n
270,d
275,space
287,w
290,h
294,o
300,space
307,i
309,s
315,space
320,s
326,e
332,t
335,t
339,i
345,n
348,g
352,space
354,u
358,p
363,space
368,a
375,space
379,p
385,l
387,a
394,t
407,delete
412,n
416,t
420,space
425,i
431,n
436,space
445,c
449,o
456,r
487,c
491,o
495,n
499,r
504,a
509,n
526,space
531,n
533,o
538,r
547,t
550,h
556,e
560,r
565,m
576,delete
582,n
596,space
602,c
609,a
625,l
631,i
635,f
636,o
640,r
647,n
656,i
662,a
686,space
691,t
695,o
698,space
732,m
735,a
741,n
746,i
759,delete
763,u
769,f
772,a
778,c
783,t
792,u
797,r
798,e
807,space
821,a
831,space
847,w
854,e
861,l
875,d
883,e
889,d
895,space
912,r
915,e
925,i
930,n
936,o
942,f
949,delete
954,delete
957,f
961,o
964,r
978,c
984,e
989,m
990,e
995,n
1000,t
1028,space
1031,g
1036,r
1052,d
1058,i
1066,delete
1069,delete
1075,i
1076,d
1081,space
1118,b
1121,u
1128,i
1140,l
1143,d
1149,i
1154,n
1159,g
1163,space
1186,s
1192,t
1199,u
1202,r
1212,delete
1217,delete
1220,r
1224,u
1229,c
1235,t
1238,u
1242,r
1244,e
1250,space
1256,s
1261,y
1262,s
1268,s
1272,t
1277,e
1282,m
1289,delete
1294,delete
1298,delete
1303,delete
1307,t
1307,e
1314,m
1387,s
1394,space
1414,delete
1424,dot
1428,space
1440,t
1441,h
1444,e
1449,y
1456,space
1460,w
1465,i
1471,l
1475,l
1478,space
1483,n
1489,e
1505,e
1516,d
1523,space
1528,v
1534,a
1550,m
1557,p
1594,space
1598,s
1607,e
1613,r
1622,v
1627,i
1630,c
1636,e
1662,dot
1668,space
1673,i
1687,space
1696,s
1700,u
1706,u
1719,g
1723,delete
1728,delete
1739,g
1750,g
1758,e
1763,s
1765,s
1770,t
1775,space
1780,t
1784,h
1786,a
1790,t
1794,space
1803,y
1815,delete
1846,t
1850,h
1853,e
1860,y
1869,space
1875,w
1880,o
1886,u
1891,l
1895,d
1899,space
1904,b
1910,e
1914,space
1921,b
1926,e
1931,t
1936,t
1942,e
1944,r
1978,space
1985,o
1991,f
2003,space
2010,m
2013,a
2018,k
2023,i
2028,n
2034,g
2040,space
2047,a
2051,n
2058,space
2064,e
2067,l
2070,e
2096,c
2102,t
2108,r
2110,i
2116,c
2119,i
2122,t
2125,y
2131,space
2157,p
2161,r
2165,o
2170,v
2171,i
2176,d
2195,delete
2198,s
2201,i
2205,o
2207,n
2233,space
2242,g
2251,delete
2257,a
2263,g
2268,r
2273,e
2279,e
2289,m
2291,e
2295,n
2301,t
2310,space
2318,w
2318,i
2323,t
2324,h
2331,space
2337,y
2343,o
2346,u
2355,space
2403,r
2408,a
2413,t
2417,h
2422,e
2426,r
2430,space
2435,t
2439,h
2446,a
2450,n
2457,space
2469,p
2475,g
2486,e
