Frame,Key
18,h
23,e
37,l
41,l
46,o
54,space
58,j
63,o
69,u
84,delete
89,h
95,n
101,comma
107,space
122,t
125,h
129,a
132,n
136,k
142,space
145,y
151,o
154,u
160,space
167,f
171,o
174,r
178,space
196,s
199,h
210,o
218,p
224,p
229,i
234,n
239,g
242,space
251,a
256,t
260,space
267,o
272,u
277,r
281,space
293,w
297,e
312,b
320,s
327,i
330,t
336,e
341,space
367,delete
374,dot
379,space
383,w
389,e
394,space
405,g
411,r
427,delete
434,u
440,a
445,r
451,e
454,n
458,t
465,e
470,e
481,delete
486,delete
491,delete
496,delete
501,delete
506,a
510,n
516,t
522,e
527,e
533,space
539,t
544,o
550,space
558,delete
563,delete
566,delete
578,y
583,o
584,u
589,r
593,space
599,t
613,delete
620,s
626,t
634,t
649,delete
674,delete
679,a
685,t
695,i
698,s
705,space
716,delete
725,f
740,a
745,c
750,t
753,i
758,o
760,n
768,space
774,w
777,i
783,t
787,h
792,space
797,o
801,u
804,r
809,space
814,h
818,i
822,g
825,h
830,space
840,v
850,delete
854,q
858,u
862,a
876,l
881,i
885,t
889,y
895,space
916,p
920,r
924,o
928,j
930,e
946,delete
951,delete
953,d
957,u
961,c
967,t
972,s
999,space
1003,a
1008,n
1011,d
1013,space
1032,c
1037,u
1040,s
1043,t
1051,o
1058,m
1066,e
1069,r
1075,space
1082,s
1087,u
1093,p
1098,p
1102,o
1106,r
1112,t
1119,dot
1126,space
1147,s
1149,i
1154,n
1156,c
1163,e
1166,space
1171,y
1176,o
1180,u
1189,r
1195,space
1206,e
1213,x
1216,p
1222,e
1229,r
1237,i
1241,c
1254,delete
1262,e
1268,n
1285,c
1292,e
1296,space
1302,w
1303,i
1309,t
1313,h
1321,space
1338,t
1341,h
1345,e
1348,space
1354,o
1357,r
1363,d
1369,e
1374,r
1381,space
1405,d
1414,i
1418,d
1423,space
1432,n
1437,o
1443,t
1447,space
1452,l
1457,i
1459,v
1466,e
1469,space
1478,u
1485,p
1491,space
1494,t
1499,o
1503,space
1512,o
1521,r
1533,delete
1538,u
1541,r
1547,space
1556,h
1560,i
1563,g
1566,h
1572,space
1578,s
1583,t
1594,r
1605,delete
1610,a
1615,n
1618,d
1629,a
1634,r
1649,d
1656,s
1665,space
1700,delete
1707,comma
1710,space
1713,w
1719,e
1724,space
1731,h
1734,a
1739,v
1746,e
1751,space
1761,i
1765,s
1768,s
1773,u
1779,e
1788,d
1795,space
1809,y
1816,o
1820,u
1827,space
1837,a
1844,space
1850,c
1861,e
1868,r
1882,delete
1888,delete
1897,r
1903,e
1909,d
1913,i
1917,t
1923,space
1948,i
1954,n
1958,space
1962,t
1967,h
1970,e
1973,space
1981,a
1986,m
1999,m
2009,o
2018,delete
2023,delete
2053,o
2057,u
2062,n
2078,t
2083,space
2088,o
2091,f
2095,space
2100,a
2106,space
2114,h
2122,u
2129,d
2143,delete
2147,n
2150,d
2157,e
2158,r
2172,delete
2175,delete
2178,r
2181,e
2188,d
2195,space
2214,delete
2221,dot
2226,space
2230,p
2235,l
2238,e
2245,a
2251,s
2257,e
2262,space
2272,a
2278,l
2284,l
2289,o
2292,w
2299,space
2305,t
2308,h
2312,r
2317,r
2337,delete
2346,e
2350,e
2355,space
2359,t
2362,o
2367,space
2383,f
2385,i
2388,v
2394,e
2399,space
2419,d
2423,a
2432,y
2437,s
2442,space
2463,f
2468,o
2471,r
2476,space
2482,y
2486,o
2489,u
2494,r
2496,space
2504,b
2510,a
2519,n
2526,k
2531,space
2545,t
2549,o
2554,space
2579,a
2583,p
2589,p
2594,l
2600,y
2605,space
2607,t
2612,h
2616,i
2620,s
2624,space
2682,c
2688,r
2694,e
2700,d
2705,i
2709,t
2716,space
2720,t
2723,o
2728,space
2734,y
2739,o
2742,u
2746,r
2751,space
2773,a
2774,c
2778,c
2786,o
2791,u
2797,n
2802,t
2809,dot
2818,space
2837,i
2842,f
2848,space
2855,y
2861,o
2864,u
2869,space
2874,h
2879,a
2884,v
2888,e
2909,space
2916,a
2921,n
2928,y
2932,space
2942,q
2950,u
2954,e
2960,s
2965,t
2967,i
2973,o
2975,n
3000,s
3009,comma
3014,space
3019,p
3026,l
3029,e
3035,a
3041,s
3044,e
3050,space
3058,v
3061,i
3082,s
3086,i
3090,t
3100,space
3146,c
3153,u
3155,s
3160,t
3164,o
3168,m
3172,e
3175,r
3179,space
3184,s
3188,u
3194,p
3199,p
3203,o
3207,r
3213,t
3220,space
3263,delete
3270,dot
3275,space
3278,t
3282,h
3286,a
3289,n
3296,k
3302,space
3305,y
3311,o
3315,u
3319,space
3334,a
3343,g
3347,a
3352,i
3358,n
3361,space
3366,f
3372,o
3376,r
3380,space
3391,s
3396,h
3403,o
3409,p
3415,p
3420,i
3425,n
3428,g
3432,space
3434,w
3437,i
3442,t
3445,h
3449,space
3455,u
3458,s
3463,space
3491,delete
3498,dot
3502,space
3506,w
3511,e
3516,space
3523,l
3528,o
3535,o
3545,k
3551,space
3563,f
3566,o
3570,r
3575,w
3583,a
3584,r
3590,d
3598,space
3603,t
3607,o
3612,space
3619,s
3625,e
3631,r
3641,i
3652,delete
3656,v
3659,i
3663,n
3666,g
3673,space
3693,y
3698,o
3701,u
3706,space
3712,t
3719,i
3731,delete
3736,delete
3744,i
3749,n
3754,space
3756,t
3760,h
3766,e
3772,space
3792,f
3799,u
3803,t
3813,u
3818,r
3822,e
3843,dot
3850,space
3859,s
3866,i
3871,n
3880,c
3889,e
3895,r
3900,e
3908,l
3914,y
3937,dot
