Key,Frame
d,35
e,42
a,45
r,50
space,57
k,67
e,72
n,76
space,82
backspace,112
comma,125
space,130
f,137
i,140
r,143
s,149
t,153
space,160
o,183
f,190
f,194
comma,223
space,229
i,233
space,242
h,246
a,252
v,254
e,261
space,265
a,283
space,288
f,296
e,300
r,304
backspace,336
backspace,340
backspace,345
f,370
r,376
e,380
i,383
n,389
d,396
space,399
backspace,414
backspace,420
backspace,423
backspace,433
backspace,476
i,485
e,489
n,494
d,497
space,503
w,512
h,514
o,518
space,525
i,528
s,535
space,541
a,552
e,559
t,565
t,569
i,574
n,579
g,583
space,586
u,597
p,602
space,611
backspace,649
backspace,654
backspace,658
backspace,662
backspace,666
backspace,671
backspace,674
backspace,679
backspace,682
backspace,686
backspace,690
s,709
e,717
t,720
t,726
i,732
n,736
g,740
space,745
u,756
p,762
space,770
a,776
space,781
p,796
l,808
a,824
n,827
t,831
space,839
i,847
n,851
space,857
c,884
o,887
r,919
o,923
o,926
n,928
a,936
n,941
space,947
backspace,962
backspace,967
backspace,971
backspace,976
backspace,979
backspace,1002
c,1013
o,1017
n,1020
r,1027
a,1031
n,1045
space,1053
n,1062
o,1067
r,1076
t,1082
h,1087
e,1100
r,1117
n,1122
space,1128
c,1133
a,1140
l,1156
i,1161
f,1168
space,1176
backspace,1195
period,1229
space,1235
t,1241
o,1245
space,1251
m,1260
a,1266
n,1280
u,1286
f,1294
a,1298
c,1303
t,1310
u,1315
r,1319
e,1324
space,1342
a,1349
space,1355
w,1363
e,1396
l,1402
d,1421
e,1426
d,1431
space,1437
r,1453
e,1458
i,1476
n,1481
f,1485
o,1488
r,1492
m,1497
backspace,1521
c,1534
e,1539
m,1548
e,1552
n,1554
t,1562
space,1566
g,1578
r,1585
i,1591
d,1595
space,1601
b,1612
u,1619
i,1624
l,1631
d,1636
i,1638
n,1644
g,1650
space,1655
s,1667
t,1672
r,1677
u,1683
c,1686
t,1691
u,1694
r,1698
e,1704
space,1709
s,1724
y,1732
s,1736
t,1742
e,1747
m,1753
s,1766
period,1801
space,1817
t,1831
h,1836
e,1840
y,1846
space,1854
w,1858
i,1864
l,1869
l,1874
space,1884
n,1896
e,1901
e,1906
d,1909
d,1921
space,1931
backspace,1983
backspace,1988
space,2003
v,2014
a,2018
m,2022
p,2028
space,2038
backspace,2052
period,2064
space,2070
s,2077
e,2085
r,2088
v,2120
i,2124
c,2135
e,2140
space,2159
backspace,2170
period,2195
space,2201
i,2207
space,2212
s,2217
u,2223
g,2227
g,2231
e,2238
s,2243
t,2247
e,2259
d,2265
space,2270
t,2275
h,2280
a,2288
t,2291
space,2299
t,2310
h,2316
e,2319
y,2324
space,2330
w,2367
o,2370
u,2377
l,2416
d,2422
space,2427
b,2437
e,2446
space,2449
b,2461
e,2467
t,2471
t,2476
e,2484
r,2488
space,2491
o,2499
f,2505
space,2509
m,2531
a,2535
k,2538
i,2543
n,2548
g,2554
space,2559
a,2567
n,2580
space,2588
e,2606
l,2611
e,2613
c,2622
t,2628
r,2634
i,2639
c,2644
i,2649
t,2653
y,2659
space,2668
p,2691
r,2697
o,2704
f,2715
v,2726
i,2729
s,2733
backspace,2755
backspace,2760
backspace,2765
backspace,2769
v,2794
i,2797
s,2803
i,2806
o,2812
n,2816
space,2825
a,2839
g,2849
r,2857
e,2861
e,2865
m,2888
e,2891
n,2894
t,2900
space,2911
w,2920
i,2923
t,2928
h,2932
space,2937
y,2952
o,2957
u,2962
space,2967
r,2971
a,2977
t,2982
h,2987
e,2992
r,2995
space,3000
t,3004
h,3026
a,3031
n,3034
space,3039
p,3059
g,3066
e,3073
backspace,3101
space,3108
e,3114
period,3122
space,3128
h,3163
i,3168
s,3171
space,3174
a,3178
n,3180
m,3188
e,3195
space,3198
backspace,3210
backspace,3215
backspace,3221
backspace,3227
backspace,3232
backspace,3254
n,3265
a,3268
m,3274
e,3282
space,3286
backspace,3303
backspace,3308
backspace,3312
backspace,3334
backspace,3352
space,3373
a,3401
backspace,3418
n,3440
a,3444
m,3447
e,3454
space,3457
i,3461
s,3467
space,3471
h,3480
a,3485
n,3493
s,3506
space,3512
b,3522
a,3527
u,3533
m,3545
a,3547
n,3552
space,3563
backspace,3583
period,3593
space,3599
h,3619
e,3624
space,3627
c,3632
s,3634
a,3637
n,3643
space,3650
backspace,3678
backspace,3683
backspace,3688
backspace,3692
backspace,3696
c,3717
a,3722
n,3727
space,3733
b,3738
e,3745
space,3749
r,3759
a,3763
c,3771
backspace,3792
backspace,3796
e,3811
a,3816
c,3820
h,3828
e,3835
d,3839
space,3843
a,3867
t,3872
space,3878
o,3901
backspace,3918
backspace,3931
period,3953
space,3960
p,3965
l,4018
e,4026
a,4031
s,4036
e,4043
space,4046
l,4062
backspace,4076
h,4088
a,4092
v,4095
e,4100
space,4104
y,4117
o,4123
u,4127
r,4140
space,4146
p,4162
e,4173
o,4181
p,4190
l,4196
e,4202
space,4209
c,4238
o,4241
n,4246
t,4249
a,4253
c,4260
t,4266
space,4301
h,4310
i,4315
m,4320
space,4328
a,4333
s,4339
a,4347
p,4359
space,4368
a,4403
s,4409
space,4414
h,4420
e,4426
space,4431
p,4438
l,4461
a,4468
n,4473
e,4480
d,4487
space,4492
backspace,4516
backspace,4521
backspace,4525
s,4546
space,4550
t,4555
o,4559
space,4562
o,4586
p,4592
e,4597
n,4601
space,4609
f,4625
o,4627
r,4631
e,4634
backspace,4666
space,4675
b,4681
u,4686
s,4692
i,4717
n,4724
e,4730
s,4734
s,4739
backspace,4789
backspace,4794
backspace,4799
backspace,4804
backspace,4811
s,4835
i,4838
n,4845
e,4852
s,4856
s,4861
space,4875
i,4899
n,4904
space,4910
n,4915
o,4920
b,4936
e,4943
m,4947
backspace,4970
backspace,4975
backspace,5003
v,5012
e,5019
m,5023
b,5031
e,5044
r,5048
space,5058
backspace,5076
period,5090
space,5099
n,5106
e,5109
x,5114
t,5121
space,5129
backspace,5142
comma,5159
space,5164
t,5168
h,5172
e,5176
space,5181
s,5185
a,5190
p,5197
e,5205
backspace,5221
backspace,5227
backspace,5231
backspace,5235
a,5253
s,5261
p,5279
e,5284
n,5288
space,5296
c,5310
backspace,5325
a,5335
c,5343
c,5348
o,5354
r,5359
d,5367
space,5391
c,5413
o,5416
n,5421
f,5428
e,5431
e,5436
r,5439
e,5448
n,5454
c,5459
backspace,5479
backspace,5484
backspace,5489
backspace,5504
r,5521
backspace,5531
backspace,5536
r,5557
e,5562
n,5569
c,5573
e,5579
space,5583
return,5584
backspace,5666
backspace,5666
space,5681
i,5691
n,5696
space,5704
backspace,5749
backspace,5753
backspace,5758
backspace,5764
backspace,5791
backspace,5791
space,5811
i,5816
n,5822
space,5828
w,5829
backspace,5865
s,5873
w,5880
e,5888
d,5893
e,5898
n,5904
space,5911
w,5934
n,5945
t,5958
space,5965
backspace,5982
backspace,5987
backspace,6026
e,6034
n,6038
t,6042
space,6045
e,6051
x,6058
t,6078
r,6083
o,6088
backspace,6121
a,6194
o,6204
r,6257
d,6265
i,6270
a,6279
n,6282
r,6289
y,6293
backspace,6324
backspace,6328
backspace,6333
backspace,6364
n,6401
a,6407
r,6413
i,6423
l,6432
y,6438
space,6449
w,6456
e,6460
l,6468
l,6473
period,6506
period,6511
period,6515
space,6525
e,6529
s,6535
p,6554
e,6568
c,6575
i,6582
a,6592
l,6600
l,6615
k,6618
y,6626
backspace,6650
backspace,6655
y,6681
space,6688
w,6693
i,6695
t,6701
h,6702
space,6707
t,6711
h,6716
e,6720
space,6724
c,6735
a,6741
l,6767
i,6772
f,6782
o,6785
r,6790
n,6806
i,6811
a,6816
space,6824
i,6834
s,6835
s,6842
u,6845
e,6853
space,6857
i,6866
n,6871
space,6878
s,6885
u,6888
c,6893
h,6898
space,6902
a,6907
space,6912
b,6937
o,6945
u,6948
n,6955
d,6961
period,6982
space,6989
i,6997
space,7012
k,7024
n,7030
o,7034
w,7040
space,7048
t,7060
h,7065
a,7069
t,7072
space,7079
t,7085
h,7089
e,7095
r,7099
e,7102
space,7126
i,7136
s,7142
space,7147
a,7161
space,7166
b,7175
u,7181
s,7186
s,7191
i,7197
n,7201
u,7207
e,7215
backspace,7236
backspace,7241
backspace,7262
n,7281
e,7287
s,7292
s,7297
backspace,7335
backspace,7339
backspace,7343
backspace,7348
backspace,7351
backspace,7356
backspace,7361
s,7382
i,7385
s,7390
n,7393
e,7398
s,7404
s,7409
space,7426
backspace,7446
backspace,7451
backspace,7455
backspace,7459
backspace,7464
backspace,7472
n,7497
e,7502
s,7507
s,7513
space,7520
o,7541
p,7551
p,7556
o,7573
r,7578
t,7584
u,7590
n,7612
i,7617
t,7621
i,7627
e,7630
backspace,7654
backspace,7660
y,7688
space,7694
t,7698
h,7702
a,7707
t,7709
space,7715
c,7724
a,7724
s,7725
n,7732
space,7738
backspace,7773
backspace,7778
backspace,7783
n,7807
space,7813
b,7819
e,7826
space,7831
e,7896
e,7902
v,7911
e,7917
backspace,7934
backspace,7939
backspace,7944
backspace,7947
backspace,7951
d,7964
e,7971
v,7975
e,7980
l,7986
backspace,8002
backspace,8007
backspace,8011
backspace,8015
backspace,8019
backspace,8023
e,8048
space,8054
d,8060
d,8069
backspace,8090
e,8102
b,8112
e,8118
backspace,8135
backspace,8140
v,8152
e,8158
l,8173
o,8180
p,8186
e,8193
d,8219
space,8229
a,8238
n,8243
d,8248
space,8251
w,8290
o,8293
u,8298
l,8304
d,8311
space,8314
b,8320
e,8329
space,8333
o,8342
l,8350
backspace,8370
backspace,8374
backspace,8379
space,8403
p,8411
l,8427
e,8431
a,8441
s,8447
e,8453
space,8455
backspace,8473
e,8496
d,8502
backspace,8526
backspace,8530
d,8541
space,8549
backspace,8574
comma,8585
space,8590
w,8614
h,8618
e,8624
space,8626
n,8628
space,8639
t,8641
h,8646
e,8652
backspace,8665
backspace,8671
backspace,8676
backspace,8681
backspace,8684
backspace,8697
n,8713
space,8719
t,8723
h,8727
e,8732
space,8735
t,8740
i,8743
m,8750
i,8758
n,8763
g,8770
space,8777
i,8780
s,8787
space,8792
r,8800
i,8802
g,8807
h,8810
t,8816
space,8819
t,8829
o,8832
space,8839
d,8855
i,8858
s,8862
c,8867
u,8874
s,8881
s,8886
u,8895
backspace,8923
space,8931
w,8936
i,8939
t,8944
backspace,8962
backspace,8968
backspace,8972
t,8988
h,8993
i,8997
s,9004
space,9008
w,9011
i,9014
t,9021
h,9025
space,9032
y,9046
o,9053
u,9056
period,9080
space,9086
a,9096
f,9102
t,9107
e,9112
r,9115
a,9123
backspace,9147
space,9156
a,9162
l,9165
l,9170
space,9177
k,9182
e,9188
n,9194
comma,9202
space,9208
y,9222
o,9227
u,9231
r,9241
space,9245
