Key,Frame
o,54
n,59
space,66
s,75
t,80
a,91
r,94
backspace,133
backspace,138
backspace,142
backspace,147
a,165
space,168
s,199
t,205
a,212
r,214
k,223
u,229
t,235
space,238
n,242
i,245
backspace,260
backspace,264
backspace,269
0,274
0,279
backspace,284
backspace,291
backspace,305
backspace,311
backspace,316
backspace,320
r,374
l,378
u,384
t,386
backspace,437
backspace,441
backspace,446
i,460
u,465
backspace,504
backspace,508
l,536
i,542
t,550
space,565
n,572
i,578
g,582
h,584
t,590
space,592
backspace,626
comma,636
space,642
5,648
space,653
s,669
t,674
a,678
r,703
g,711
a,738
z,749
e,764
r,785
s,792
space,798
g,809
a,815
t,820
h,826
e,829
r,833
e,853
d,859
space,863
o,868
n,873
space,879
a,887
space,892
h,899
i,903
l,910
l,915
space,926
backspace,935
comma,944
space,950
t,954
h,958
e,967
i,971
r,976
space,1006
h,1018
o,1022
t,1027
backspace,1046
backspace,1051
backspace,1056
n,1071
o,1076
t,1080
e,1086
b,1094
o,1098
o,1103
k,1109
s,1118
space,1125
f,1133
i,1137
l,1143
l,1148
e,1152
d,1158
space,1164
i,1169
w,1172
t,1181
h,1187
backspace,1199
backspace,1204
backspace,1208
backspace,1213
w,1231
i,1232
t,1237
h,1240
space,1247
s,1257
k,1271
t,1285
backspace,1305
e,1312
t,1314
c,1322
h,1324
e,1328
s,1334
space,1340
f,1344
r,1349
o,1352
m,1357
space,1366
a,1400
space,1403
t,1416
o,1420
space,1426
z,1456
space,1464
backspace,1496
period,1507
space,1514
a,1531
space,1539
q,1576
u,1591
i,1595
c,1600
k,1606
space,1615
b,1622
r,1630
o,1636
w,1642
n,1647
space,1655
f,1664
o,1669
x,1674
space,1679
d,1693
a,1700
t,1705
backspace,1729
r,1739
t,1744
e,1750
d,1756
space,1760
a,1775
c,1782
c,1787
backspace,1828
r,1845
o,1850
s,1852
s,1857
space,1870
t,1877
h,1881
e,1885
space,1889
m,1897
e,1904
a,1908
d,1918
o,1922
w,1928
comma,1947
space,1953
w,1958
e,2003
a,2010
v,2020
i,2024
n,2028
g,2033
space,2037
b,2052
e,2061
t,2065
w,2082
e,2089
e,2094
n,2101
space,2107
7,2122
space,2127
c,2133
u,2137
r,2142
i,2148
o,2155
u,2159
s,2166
space,2173
r,2198
a,2203
b,2208
b,2221
i,2227
t,2231
space,2238
a,2246
n,2250
d,2257
backspace,2281
backspace,2286
backspace,2291
backspace,2303
w,2314
space,2318
a,2323
n,2328
d,2333
space,2337
backspace,2370
backspace,2373
backspace,2377
backspace,2381
backspace,2386
backspace,2390
w,2403
space,2412
backspace,2430
backspace,2434
w,2444
backspace,2482
s,2497
space,2610
a,2617
n,2623
d,2629
space,2633
6,2657
space,2663
f,2676
r,2681
i,2684
backspace,2703
o,2711
g,2716
s,2722
space,2729
c,2742
r,2748
o,2752
a,2756
j,2783
i,2788
n,2795
g,2800
space,2803
backspace,2823
backspace,2827
backspace,2832
backspace,2837
backspace,2841
k,2864
i,2868
n,2874
g,2879
space,2883
b,2889
e,2897
s,2906
i,2909
d,2913
e,2919
space,2925
a,2932
space,2939
0,2965
space,2971
d,2993
e,3000
g,3004
r,3015
e,3022
e,3027
space,3035
b,3042
r,3049
o,3055
o,3060
o,3064
j,3066
backspace,3093
backspace,3117
k,3145
period,3187
space,3219
o,3247
v,3253
e,3259
r,3262
h,3270
e,3274
a,3281
d,3287
comma,3303
space,3309
9,3345
space,3352
s,3374
h,3382
o,3387
o,3392
i,3400
t,3405
n,3412
g,3419
space,3421
backspace,3449
backspace,3454
backspace,3459
backspace,3463
backspace,3466
backspace,3471
t,3488
i,3490
n,3494
g,3499
space,3501
s,3506
t,3511
a,3516
r,3521
backspace,3561
backspace,3567
backspace,3571
backspace,3576
backspace,3579
backspace,3583
backspace,3588
backspace,3592
backspace,3596
o,3618
t,3623
i,3625
n,3630
g,3634
space,3637
s,3656
t,3661
a,3666
r,3671
s,3679
space,3685
s,3706
t,3711
r,3717
e,3729
a,3736
k,3770
e,3774
d,3779
space,3783
t,3788
h,3793
r,3796
o,3799
u,3803
g,3806
h,3811
t,3818
backspace,3854
space,3864
t,3867
h,3871
e,3878
space,3883
s,3903
k,3910
y,3916
space,3931
a,3939
s,3945
space,3951
1,3965
2,3971
space,3978
o,3993
w,3996
l,4002
s,4017
space,4027
h,4042
o,4047
o,4052
t,4057
e,4063
d,4068
space,4074
s,4084
o,4091
f,4097
t,4104
l,4120
y,4126
space,4135
f,4138
r,4144
o,4149
m,4153
space,4162
n,4181
e,4187
a,4191
r,4195
b,4210
y,4215
space,4224
t,4241
r,4248
e,4252
e,4256
s,4266
space,4272
backspace,4289
period,4300
space,4307
t,4335
h,4339
e,4346
space,4350
g,4361
r,4367
o,4375
u,4379
p,4386
space,4402
m,4409
a,4416
r,4421
v,4427
e,4434
l,4439
e,4442
d,4445
space,4452
a,4463
t,4468
space,4475
8,4498
9,4503
space,4511
c,4526
o,4528
n,4532
s,4538
t,4543
e,4551
l,4559
l,4564
a,4583
t,4587
i,4595
o,4600
n,4603
s,4613
space,4619
t,4639
h,4642
e,4647
y,4652
space,4659
h,4665
a,4672
d,4678
space,4683
m,4690
a,4695
o,4699
p,4705
e,4714
backspace,4732
backspace,4737
backspace,4742
p,4772
p,4776
e,4784
d,4790
space,4794
a,4814
n,4819
d,4825
space,4831
t,4834
h,4838
e,4843
space,4848
3,4873
4,4876
5,4883
space,4893
g,4912
l,4916
i,4921
m,4927
e,4932
r,4936
i,4942
n,4947
g,4950
backspace,4969
backspace,4973
backspace,4978
backspace,4983
backspace,5001
m,5014
e,5021
r,5023
i,5028
n,5033
g,5040
space,5043
l,5050
i,5056
g,5059
h,5063
t,5068
s,5078
space,5084
o,5088
f,5093
space,5097
a,5104
space,5111
s,5129
backspace,5145
d,5154
i,5159
s,5163
t,5168
a,5175
n,5183
t,5188
t,5197
backspace,5216
space,5226
v,5261
i,5266
l,5272
l,5276
a,5283
g,5286
e,5290
space,5300
backspace,5316
period,5326
space,5332
s,5371
u,5380
r,5384
r,5389
o,5412
u,5415
n,5421
d,5424
e,5429
d,5435
space,5441
b,5446
y,5451
space,5457
t,5462
h,5465
e,5470
space,5474
b,5514
r,5520
i,5526
l,5532
l,5537
i,5554
a,5562
n,5568
c,5570
e,5577
space,5581
o,5585
f,5591
space,5595
6,5636
7,5640
backspace,5675
7,5685
8,5691
space,5701
c,5724
e,5731
l,5733
e,5737
s,5769
t,5777
i,5782
a,5787
l,5790
space,5799
b,5811
o,5816
d,5822
i,5829
e,5833
s,5839
space,5846
backspace,5859
comma,5870
space,5876
t,5883
h,5892
e,5895
y,5904
space,5913
l,5921
backspace,5969
f,5987
l,5990
backspace,6018
e,6060
l,6067
t,6071
space,6081
t,6087
h,6091
e,6095
space,6099
s,6104
e,6112
a,6117
m,6125
k,6140
e,6145
s,6149
s,6155
space,6161
backspace,6213
backspace,6218
backspace,6222
backspace,6228
