Key,Frame
i,73
n,78
space,86
2,105
0,118
2,125
3,134
comma,196
space,206
7,261
5,275
8,339
9,344
2,384
5,392
space,403
s,441
c,446
i,453
e,457
n,462
c,469
t,477
e,487
s,495
t,501
backspace,519
backspace,522
backspace,527
backspace,533
backspace,540
t,572
e,577
backspace,617
i,623
s,628
t,634
space,640
backspace,666
s,671
space,676
w,681
o,686
r,690
k,727
e,732
d,741
space,749
o,768
n,771
space,781
5,794
1,805
2,847
3,853
5,898
5,903
space,935
e,940
x,949
p,954
e,963
r,1004
i,1007
m,1014
e,1019
n,1023
t,1027
s,1033
space,1040
f,1049
o,1054
r,1057
space,1087
6,1124
5,1131
1,1165
5,1172
space,1190
backspace,1210
e,1223
5,1228
backspace,1258
backspace,1262
1,1289
3,1301
5,1307
space,1317
m,1329
o,1334
n,1339
t,1344
h,1348
s,1391
comma,1399
space,1405
u,1410
backspace,1435
r,1443
u,1449
n,1456
n,1461
i,1468
n,1474
g,1483
space,1486
1,1502
5,1508
1,1518
8,1529
space,1538
backspace,1573
0,1590
9,1601
backspace,1622
8,1632
space,1663
t,1671
e,1673
s,1681
t,1686
s,1694
space,1702
d,1708
a,1716
i,1720
l,1727
y,1732
space,1745
a,1760
c,1767
c,1771
o,1796
backspace,1823
backspace,1828
r,1848
o,1852
s,1855
s,1859
space,1870
1,1895
6,1917
6,1922
4,1951
3,1964
7,1973
space,1987
l,2002
a,2005
b,2010
a,2018
s,2019
s,2022
backspace,2050
backspace,2054
backspace,2058
s,2075
space,2081
w,2089
i,2092
t,2095
h,2100
space,2108
4,2164
9,2173
0,2221
0,2226
space,2236
c,2240
o,2276
m,2283
p,2291
u,2295
t,2300
e,2306
r,2310
s,2315
space,2324
backspace,2346
backspace,2351
backspace,2356
backspace,2372
u,2387
e,2392
r,2395
s,2402
space,2409
a,2416
n,2422
d,2427
space,2432
3,2447
0,2458
0,2464
space,2489
m,2495
a,2500
c,2506
h,2509
i,2512
n,2537
e,2539
space,2549
backspace,2569
w,2575
e,2594
a,2599
c,2610
backspace,2632
backspace,2636
backspace,2642
backspace,2646
space,2667
e,2679
a,2683
c,2689
h,2695
space,2702
backspace,2731
backspace,2736
backspace,2740
backspace,2748
backspace,2753
backspace,2760
s,2777
space,2783
e,2791
a,2797
c,2801
h,2808
space,2818
o,2839
r,2845
backspace,2875
backspace,2879
p,2897
r,2918
o,2922
c,2927
e,2933
s,2941
s,2945
i,2949
n,2955
g,2959
space,2995
7,3027
6,3035
9,3211
backspace,3234
9,3249
3,3277
0,3284
backspace,3313
1,3337
0,3344
space,3357
d,3365
a,3374
t,3378
a,3390
s,3422
e,3429
t,3431
s,3436
period,3461
space,3468
o,3490
v,3496
e,3503
r,3506
space,3600
5,3613
6,3623
3,3733
2,3740
6,3795
0,3802
space,3815
o,3849
r,3853
backspace,3883
backspace,3887
backspace,3891
space,3909
p,3918
r,3924
p,3927
backspace,3953
o,3966
t,3976
o,3981
p,4000
backspace,4027
t,4034
y,4036
p,4043
i,4051
backspace,4072
e,4086
s,4091
space,4097
w,4107
e,4113
r,4117
e,4119
space,4143
d,4149
e,4153
v,4160
e,4166
l,4173
o,4180
p,4186
e,4201
d,4209
space,4212
backspace,4225
comma,4236
space,4242
4,4248
3,4255
backspace,4270
2,4278
space,4287
backspace,4311
1,4323
2,4331
3,4355
0,4370
space,4378
e,4395
r,4400
r,4404
o,4409
r,4412
s,4436
space,4444
w,4448
e,4457
r,4480
e,4483
r,4484
space,4514
f,4520
i,4525
x,4532
e,4538
d,4544
backspace,4569
backspace,4573
backspace,4578
backspace,4603
backspace,4608
backspace,4613
backspace,4626
space,4640
f,4644
i,4649
x,4658
e,4663
d,4669
comma,4701
space,4706
q,4710
n,4717
d,4724
space,4730
backspace,4744
backspace,4749
backspace,4754
backspace,4758
a,4774
n,4778
d,4784
space,4792
1,4807
0,4823
0,4828
space,4852
e,4878
q,4884
a,4890
u,4892
t,4899
backspace,4924
backspace,4929
backspace,4967
u,4977
q,4989
t,4993
i,5002
o,5008
backspace,5024
backspace,5028
backspace,5033
backspace,5038
a,5055
t,5066
i,5073
o,5079
a,5084
backspace,5112
n,5121
space,5131
backspace,5150
s,5156
space,5168
w,5182
e,5189
r,5194
e,5220
space,5230
s,5237
h,5243
o,5248
backspace,5269
backspace,5274
o,5291
l,5296
v,5301
e,5306
d,5312
space,5318
backspace,5329
period,5345
space,5350
b,5388
y,5394
space,5402
d,5406
a,5413
y,5429
space,5435
3,5445
5,5455
6,5487
8,5536
0,5580
space,5591
backspace,5603
m,5614
space,5623
t,5629
backspace,5643
backspace,5648
backspace,5652
comma,5675
space,5682
h,5689
t,5693
backspace,5713
backspace,5718
t,5741
h,5745
e,5750
y,5754
space,5760
r,5777
e,5780
c,5787
backspace,5819
d,5830
u,5834
c,5837
e,5843
d,5850
space,5855
9,5883
space,5891
m,5914
a,5918
j,5930
o,5936
r,5946
space,5954
o,5965
r,5971
o,5975
b,5981
backspace,5995
backspace,5999
backspace,6004
backspace,6008
p,6028
r,6034
o,6038
b,6062
l,6070
e,6075
m,6082
space,6090
backspace,6113
s,6119
space,6123
t,6128
o,6132
space,6139
0,6170
space,6178
s,6183
c,6189
a,6214
l,6219
i,6224
n,6229
backspace,6245
backspace,6250
backspace,6253
i,6272
n,6277
g,6284
space,6287
backspace,6304
backspace,6309
backspace,6312
backspace,6317
backspace,6322
backspace,6326
backspace,6329
backspace,6334
comma,6356
space,6362
w,6367
backspace,6397
s,6427
c,6441
a,6445
l,6448
i,6454
n,6460
g,6466
space,6469
t,6474
h,6480
e,6484
space,6488
o,6497
r,6501
o,6507
j,6511
e,6515
c,6521
t,6528
space,6538
backspace,6551
backspace,6555
backspace,6560
backspace,6564
backspace,6568
backspace,6572
backspace,6576
backspace,6580
backspace,6598
space,6624
p,6634
r,6644
o,6647
j,6657
e,6665
c,6666
t,6673
space,6678
t,6708
o,6710
space,6715
i,6722
m,6729
p,6735
a,6742
c,6747
t,6753
space,6769
7,6793
5,6803
7,6815
7,6840
0,6851
space,6863
c,6868
i,6873
t,6879
e,6884
s,6890
space,6900
backspace,6949
backspace,6954
backspace,6958
i,6981
e,6983
s,6989
space,6995
u,7023
s,7028
i,7030
n,7035
g,7040
space,7043
5,7070
3,7081
7,7090
space,7098
f,7114
o,7117
r,7121
m,7126
u,7134
l,7145
a,7152
s,7167
space,7174
a,7193
n,7196
d,7201
space,7207
9,7235
6,7297
8,7308
9,7354
space,7378
r,7387
e,7390
a,7416
c,7421
t,7427
i,7433
r,7437
s,7445
space,7456
backspace,7529
backspace,7573
backspace,7590
backspace,7617
i,7642
r,7658
backspace,7672
backspace,7676
o,7686
e,7694
s,7713
backspace,7735
backspace,7740
backspace,7744
o,7783
r,7786
s,7792
period,7846
space,7852
t,7911
h,7918
e,7922
i,7932
space,7943
9,7981
6,8029
backspace,8078
6,8089
3,8115
2,8122
2,8134
backspace,8164
4,8171
4,8176
9,8191
space,8198
b,8212
u,8218
d,8222
g,8230
e,8236
t,8239
space,8247
s,8264
u,8278
p,8303
p,8308
o,8319
r,8324
t,8331
e,8336
d,8343
space,8350
1,8366
0,8374
space,8381
t,8387
e,8390
a,8395
m,8405
s,8416
space,8423
q,8434
c,8441
r,8450
backspace,8476
backspace,8480
backspace,8484
backspace,8489
a,8500
backspace,8514
space,8529
a,8541
c,8548
i,8555
r,8561
backspace,8576
backspace,8582
c,8601
backspace,8621
r,8633
o,8637
s,8640
s,8645
space,8658
4,8682
6,8690
7,8714
0,8728
space,8738
l,8753
o,8759
c,8763
a,8768
t,8771
i,8775
o,8782
n,8785
s,8794
space,8802
backspace,8814
comma,8823
space,8828
b,8834
e,8840
n,8847
e,8853
f,8884
i,8887
t,8892
t,8898
i,8904
n,8910
g,8916
backspace,8934
backspace,8937
backspace,8942
backspace,8947
u,8969
n,8974
g,8979
space,8983
backspace,9010
backspace,9014
backspace,9018
backspace,9023
u,9041
n,9047
g,9052
space,9055
backspace,9080
backspace,9086
backspace,9090
backspace,9094
backspace,9098
i,9128
n,9133
g,9141
space,9149
backspace,9162
backspace,9165
backspace,9170
backspace,9175
backspace,9178
backspace,9182
i,9203
t,9207
i,9210
n,9215
g,9220
