Key,Time (ms),Frame
shift_l,1739756140276,36
i,1739756140847,53
n,1739756141037,59
space,1739756141303,67
2,1739756141590,75
0,1739756142047,89
2,1739756142330,97
7,1739756143374,129
space,1739756143670,138
backspace,1739756143957,146
comma,1739756144280,156
space,1739756144548,164
6,1739756145838,203
backspace,1739756146221,214
6,1739756146644,227
5,1739756146777,231
4,1739756147521,253
3,1739756147990,267
2,1739756149406,310
1,1739756149647,317
space,1739756150039,329
c,1739756150665,347
h,1739756150832,352
e,1739756150972,357
l,1739756151147,362
f,1739756151298,366
s,1739756151591,375
backspace,1739756151854,383
backspace,1739756152024,388
backspace,1739756152185,393
f,1739756153371,429
w,1739756153531,433
space,1739756153819,442
c,1739756154086,450
o,1739756154369,458
l,1739756154569,464
backspace,1739756154957,476
backspace,1739756155109,481
backspace,1739756155255,485
backspace,1739756155442,491
backspace,1739756155622,496
s,1739756156053,509
space,1739756156314,517
c,1739756156599,525
o,1739756156891,534
l,1739756157172,543
l,1739756158056,569
a,1739756158498,582
b,1739756159029,598
o,1739756159189,603
r,1739756159356,608
q,1739756159515,613
t,1739756159641,617
backspace,1739756160364,638
backspace,1739756160515,643
backspace,1739756160671,648
a,1739756161087,660
t,1739756161345,668
d,1739756161753,680
space,1739756161927,685
backspace,1739756162259,695
backspace,1739756162422,700
backspace,1739756162600,705
backspace,1739756162743,710
backspace,1739756162891,714
o,1739756164584,765
r,1739756164850,773
a,1739756165090,780
t,1739756165322,787
e,1739756165559,794
d,1739756165733,799
space,1739756165892,804
o,1739756166100,810
n,1739756166278,816
space,1739756166867,833
3,1739756167367,848
4,1739756167546,854
2,1739756168430,880
9,1739756170791,951
0,1739756170982,957
backspace,1739756171509,973
backspace,1739756171695,978
8,1739756172417,1000
0,1739756173040,1019
backspace,1739756173584,1035
9,1739756174017,1048
0,1739756174591,1065
space,1739756175170,1083
c,1739756175543,1094
u,1739756175856,1103
l,1739756176063,1109
l,1739756176242,1115
backspace,1739756176631,1126
i,1739756177009,1138
n,1739756177205,1144
a,1739756177567,1154
r,1739756177751,1160
y,1739756177878,1164
space,1739756178144,1172
e,1739756178331,1177
x,1739756178623,1186
o,1739756179108,1201
backspace,1739756179690,1218
p,1739756180007,1228
e,1739756180278,1236
r,1739756180422,1240
i,1739756181324,1267
m,1739756182229,1294
