Key,Frame
t,146
h,151
e,155
space,160
f,164
i,167
v,172
e,175
space,180
v,190
o,196
x,199
i,203
n,207
backspace,216
backspace,222
backspace,226
backspace,230
backspace,244
b,262
o,267
x,272
i,275
n,280
g,286
space,289
w,297
e,307
backspace,319
i,337
z,342
r,351
d,361
s,369
space,375
backspace,380
backspace,386
backspace,389
backspace,394
a,416
r,422
d,431
w,438
space,444
backspace,467
backspace,473
s,482
space,492
j,502
u,506
m,514
p,518
v,525
backspace,548
space,559
q,572
u,585
c,592
i,597
backspace,620
backspace,625
i,638
c,644
k,648
l,655
y,661
space,668
backspace,678
comma,690
period,698
space,704
p,710
a,716
c,722
k,726
space,734
m,742
y,750
space,757
b,763
o,768
s,772
space,781
w,790
i,792
backspace,802
backspace,806
backspace,811
backspace,814
x,825
space,835
w,840
i,846
t,851
h,856
space,862
i,867
backspace,877
backspace,883
space,900
f,911
i,916
v,920
e,924
space,929
d,936
o,941
z,953
e,961
n,966
space,976
o,982
i,987
q,999
backspace,1009
backspace,1013
backspace,1017
k,1042
backspace,1053
l,1065
i,1073
q,1080
u,1086
o,1101
r,1107
space,1116
j,1120
u,1125
g,1130
s,1137
comma,1158
period,1164
space,1172
g,1178
o,1184
space,1189
l,1193
a,1198
z,1205
y,1210
space,1218
f,1223
a,1229
t,1234
space,1242
v,1249
i,1259
x,1269
e,1277
n,1283
space,1288
b,1293
y,1298
space,1305
backspace,1325
backspace,1326
e,1340
space,1345
s,1353
h,1359
r,1364
e,1369
w,1396
e,1408
d,1415
space,1422
j,1432
u,1437
m,1444
p,1450
space,1463
q,1472
u,1478
i,1483
c,1489
k,1496
l,1506
y,1512
comma,1525
period,1532
space,1541
w,1545
h,1550
e,1553
n,1557
space,1563
z,1573
o,1589
o,1595
m,1600
b,1614
i,1620
e,1624
s,1628
space,1633
a,1640
r,1647
r,1652
i,1657
v,1661
e,1666
s,1671
comma,1682
space,1688
q,1693
u,1699
i,1704
c,1708
k,1715
l,1727
y,1735
space,1740
f,1746
a,1753
c,1760
backspace,1777
x,1783
space,1795
j,1806
u,1812
d,1817
g,1824
e,1830
space,1838
p,1843
a,1852
t,1856
period,1877
backspace,1889
comma,1901
period,1908
space,1915
a,1922
m,1930
a,1935
z,1973
i,1980
n,1986
g,1991
l,1999
y,2004
space,2011
f,2015
e,2021
w,2027
space,2037
d,2047
i,2052
s,2058
t,2063
backspace,2095
c,2103
o,2108
t,2113
h,2116
e,2121
q,2137
u,2142
e,2146
s,2151
space,2162
p,2170
r,2176
o,2180
v,2189
i,2194
d,2199
e,2205
space,2210
j,2214
u,2219
k,2226
e,2231
space,2236
b,2248
o,2253
x,2265
e,2272
s,2278
comma,2293
period,2301
space,2307
p,2329
u,2357
z,2361
z,2366
l,2377
e,2382
d,2387
space,2396
w,2405
o,2409
e,2417
m,2421
e,2426
n,2430
backspace,2442
backspace,2447
backspace,2452
backspace,2473
m,2485
e,2491
n,2494
space,2500
b,2512
e,2519
n,2529
e,2535
backspace,2547
backspace,2551
q,2577
u,2582
e,2594
a,2616
t,2621
h,2626
a,2631
space,2641
j,2647
e,2660
r,2666
k,2673
s,2685
space,2692
e,2699
backspace,2720
backspace,2724
v,2736
e,2741
backspace,2750
backspace,2754
space,2783
v,2791
e,2796
r,2800
y,2805
space,2811
e,2816
x,2826
o,2831
t,2846
i,2851
c,2857
w,2865
backspace,2886
space,2900
g,2905
i,2910
f,2916
t,2925
s,2934
period,2967
space,2972
t,2977
h,2980
e,2985
space,2989
q,2996
u,2999
i,3004
c,3009
k,3014
space,3021
o,3026
n,3033
y,3047
x,3053
space,3062
g,3079
o,3099
l,3105
backspace,3124
b,3145
l,3148
i,3154
n,3161
space,3168
